,Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,167296.0,167296.0,167296.0,167296.0,153574.0,153718.0,35950.0,153718.0,167296.0,167296.0,167296.0,167296.0,167296.0
mean,20191047.90081054,0.4997848125478194,11.505200363427697,1065.5310527448355,0.03915780014846263,0.4268192404272759,14.693474269819191,3.0637531063375776,0.09955408377964804,2.2113499426166796,0.11890899961744453,0.07319362088752869,4.016557478959449
std,32621.24115539264,0.5000014480582259,6.915370315998489,900.7445239593337,0.10544119398342548,1.2612457113310938,11.54037246545604,4.769888280866463,0.44773407769075646,9.743659419519068,0.6784790351905965,0.3140963698563922,1.9939418330265861
min,20140101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,1.0
25%,20160915.0,0.0,6.0,253.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
50%,20190228.0,0.0,12.0,888.0,0.0,0.0,14.5,0.9999999999999964,0.0,0.0,0.0,0.0,4.0
75%,20220802.0,1.0,17.0,1623.0,0.02,0.0,21.5,4.499999999999998,0.0,0.0,0.0,0.0,6.0
max,20241231.0,1.0,23.0,9317.0,1.21,18.0,45.5,40.1,28.0,94.0,9.0,2.0,7.0
