Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2017-01-01,0.0,2,DRY,39.740031,-104.673448,24,M
2017-01-01,1700.0,2,DRY,39.716337,-105.696397,22,F
2017-01-02,930.0,2,DRY,39.743543,-105.532325,37,F
2017-01-02,1255.0,1,DRY,39.743855,-105.480957,79,M
2017-01-02,1834.0,2,DRY,39.741308,-105.513778,47,M
2017-01-02,2058.0,2,DRY W/VIS ICY ROAD TREATMENT,39.746291,-105.460542,18,M
2017-01-04,1510.0,1,ICY,39.711108,-106.69616,17,M
2017-01-05,600.0,1,SNOWY,39.745138,-105.440266,30,M
2017-01-05,840.0,2,SNOWY,39.744354,-105.43495,35,M
2017-01-05,1650.0,1,ICY,39.744145,-105.478912,23,F
2017-01-05,2000.0,2,ICY,39.745138,-105.440266,21,M
2017-01-06,1035.0,2,SNOWY,39.739801,-105.159144,37,M
2017-01-06,1300.0,2,DRY W/VIS ICY ROAD TREATMENT,39.730754,-105.170541,19,F
2017-01-08,1020.0,2,DRY,39.70921,-105.289805,23,F
2017-01-09,25.0,1,DRY,39.721164,-105.40971,64,M
2017-01-11,302.0,1,WET W/VIS ICY ROAD TREATMENT,39.743474,-105.443466,31,M
2017-01-11,1430.0,1,WET,39.744949,-105.468351,53,M
2017-01-12,1651.0,1,DRY,39.710905,-105.697271,29,M
2017-01-12,2103.0,1,DRY,39.739554,-104.576008,27,M
2017-01-13,915.0,1,DRY,39.71647,-105.190759,39,F
2017-01-13,1817.0,2,DRY,39.739801,-105.159144,46,M
2017-01-14,945.0,2,DRY,39.743474,-105.443466,33,M
2017-01-14,1500.0,2,DRY,39.743725,-105.68159,28,M
2017-01-14,2300.0,1,DRY,39.713081,-105.314528,36,F
2017-01-15,1721.0,1,WET,39.716024,-105.191104,30,M
2017-01-16,505.0,1,SNOWY,39.714161,-105.311255,28,M
2017-01-16,600.0,2,ICY,39.743474,-105.443466,0,
2017-01-17,1624.0,3,DRY,39.739801,-105.159144,57,M
2017-01-17,1750.0,2,DRY,39.740125,-104.719842,42,F
2017-01-17,1918.0,2,ICY,39.740321,-105.504953,25,M
2017-01-18,1525.0,2,DRY,39.73085,-105.170421,0,
2017-01-18,1730.0,3,DRY,39.74281,-105.155386,56,M
2017-01-19,1010.0,2,DRY,39.741215,-105.495956,0,
2017-01-19,1703.0,2,DRY,39.740089,-105.158781,45,M
2017-01-21,546.0,1,DRY,39.745522,-104.741452,28,M
2017-01-21,1040.0,2,DRY,39.744411,-105.488957,32,M
2017-01-24,1630.0,3,DRY,39.737695,-105.431191,30,M
2017-01-24,1940.0,1,WET,39.745703,-105.458821,28,M
2017-01-27,1729.0,2,DRY,39.723014,-105.182653,36,M
2017-01-27,1845.0,1,DRY,39.716247,-105.190931,35,M
2017-01-28,1401.0,2,DRY,39.741475,-105.522983,25,M
2017-01-29,1301.0,1,DRY,39.73542,-105.164663,18,M
2017-02-01,35.0,2,DRY,39.708504,-105.282568,52,M
2017-02-04,745.0,3,DRY,39.709078,-105.319309,17,M
2017-02-05,750.0,3,DRY,39.735205,-105.429167,44,M
2017-02-08,1652.0,2,DRY,39.740291,-105.15853,25,M
2017-02-09,1155.0,2,DRY,39.743474,-105.443466,27,M
2017-02-09,1235.0,1,DRY,39.730831,-105.692334,79,F
2017-02-09,2305.0,1,DRY,39.721981,-105.695512,54,M
2017-02-10,114.0,1,DRY,39.72674,-105.693887,25,M
2017-02-10,720.0,1,DRY,39.734252,-105.689652,63,M
2017-02-10,1907.0,2,DRY,39.744354,-105.43495,31,M
2017-02-11,1405.0,2,DRY,39.730575,-105.692431,29,M
2017-02-11,1600.0,1,DRY,39.722168,-105.183956,19,F
2017-02-12,1848.0,1,DRY,39.73988,-104.601713,48,M
2017-02-14,1710.0,2,DRY,39.739801,-105.159144,56,M
2017-02-15,1600.0,2,DRY,39.746682,-105.437031,51,M
2017-02-16,400.0,2,DRY,39.73946,-104.568664,39,F
2017-02-17,1152.0,1,DRY,39.740096,-104.700694,53,M
2017-02-17,1745.0,1,DRY,39.739801,-105.159144,23,M
2017-02-18,625.0,2,DRY,39.737695,-105.431191,29,M
2017-02-18,625.0,3,DRY,39.737695,-105.431191,29,F
2017-02-18,725.0,3,DRY,39.744411,-105.488957,25,M
2017-02-19,1305.0,1,DRY,39.740767,-104.724397,25,M
2017-02-20,739.0,3,DRY,39.743855,-105.480957,49,M
2017-02-23,700.0,1,ICY,39.70834,-106.692034,38,M
2017-02-23,815.0,1,ICY,39.738236,-105.431542,27,M
2017-02-23,1033.0,2,ICY,39.746291,-105.460542,41,F
2017-02-23,1235.0,3,SNOWY,39.712496,-105.304125,36,M
2017-02-23,1255.0,2,SNOWY,39.712265,-105.303236,21,F
2017-02-23,1255.0,2,SNOWY,39.711572,-105.300568,67,M
2017-02-23,1300.0,2,ICY,39.739637,-105.432274,26,M
2017-02-23,1305.0,1,SNOWY,39.746602,-105.462679,23,M
2017-02-23,1401.0,1,SNOWY,39.744411,-105.488957,55,F
2017-02-23,1710.0,1,ICY,39.740881,-104.733566,40,F
2017-02-24,645.0,2,ICY,39.708499,-105.196871,34,M
2017-02-24,805.0,2,SNOWY,39.713616,-105.313718,35,M
2017-02-24,1245.0,2,WET,39.723484,-105.181929,58,M
2017-02-26,200.0,1,DRY,39.7089,-105.284318,31,F
2017-02-26,820.0,1,DRY,39.738594,-104.523728,59,M
2017-02-27,840.0,2,DRY,39.739801,-105.159144,59,F
2017-02-28,50.0,1,ICY,39.715408,-105.696539,25,M
2017-03-01,1010.0,2,ICY W/VIS ICY ROAD TREATMENT,39.736957,-104.403752,39,F
2017-03-01,1215.0,2,DRY,39.714575,-105.192224,23,F
2017-03-02,2005.0,1,DRY,39.709013,-105.286143,49,M
2017-03-03,430.0,1,WET,39.745222,-105.47048,26,F
2017-03-03,710.0,1,DRY W/VIS ICY ROAD TREATMENT,39.746631,-105.462909,28,F
2017-03-05,1335.0,1,DRY,39.739554,-104.576008,18,M
