Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2023-01-01,HOUR15.0,39.74513,-104.74082,3.0,Clear,,
2023-01-02,HOUR10.0,39.71868,-105.69612,2.0,Clear,24.0,F
2023-01-02,HOUR17.0,39.73978,-104.58475,1.0,Snow,46.0,M
2023-01-02,HOUR18.0,39.73833,-104.42163,1.0,Blowing Snow,33.0,M
2023-01-02,HOUR20.0,39.73298,-104.37609,1.0,Snow,39.0,M
2023-01-03,HOUR7.0,39.73349,-104.36379,1.0,Snow,,
2023-01-03,HOUR7.0,39.73321,-104.36649,2.0,Cloudy,30.0,M
2023-01-03,HOUR18.0,39.73845,-104.4266,1.0,Clear,19.0,M
2023-01-04,HOUR6.0,39.74087,-104.73073,1.0,Clear,19.0,M
2023-01-04,HOUR8.0,39.71391,-105.30944,1.0,Clear,26.0,F
2023-01-04,HOUR16.0,39.72656,-105.17783,2.0,Clear,38.0,M
2023-01-05,HOUR16.0,39.73637,-105.68788,2.0,Clear,40.0,F
2023-01-06,HOUR13.0,39.7253,-105.18332,1.0,Clear,30.0,F
2023-01-06,HOUR17.0,39.74036,-104.72094,5.0,Clear,,
2023-01-07,HOUR17.0,39.73147,-105.16909,2.0,Clear,18.0,M
2023-01-07,HOUR18.0,39.714325,-105.192405,2.0,Clear,23.0,F
2023-01-07,HOUR18.0,39.72384,-105.1814,2.0,Clear,36.0,M
2023-01-08,HOUR11.0,39.73252,-105.42737,3.0,Clear,30.0,M
2023-01-08,HOUR23.0,39.74075,-104.73188,2.0,Clear,,
2023-01-09,HOUR7.0,39.74519,-104.74092,1.0,Clear,73.0,F
2023-01-11,HOUR7.0,39.71746,-105.39886,2.0,Cloudy,74.0,M
2023-01-11,HOUR8.0,39.71254,-105.30344,2.0,Snow,27.0,M
2023-01-11,HOUR9.0,39.73276,-104.37411,1.0,Snow,19.0,F
2023-01-11,HOUR10.0,39.73377,-104.38355,2.0,Snow,23.0,M
2023-01-13,HOUR7.0,39.74231,-105.43306,2.0,Clear,30.0,M
2023-01-13,HOUR13.0,39.7373,-105.4307,2.0,Clear,56.0,M
2023-01-13,HOUR14.0,39.725314,-105.179109,3.0,Clear,53.0,M
2023-01-14,HOUR17.0,39.743863,-105.481063,2.0,Clear,,
2023-01-15,HOUR6.0,39.74443,-105.44212,2.0,Clear,26.0,F
2023-01-15,HOUR22.0,39.7277,-105.4227,1.0,Wind,39.0,M
2023-01-16,HOUR6.0,39.73105,-105.42648,3.0,Wind,60.0,M
2023-01-17,HOUR15.0,39.71631,-105.19147,1.0,Cloudy,41.0,M
2023-01-17,HOUR19.0,39.73919,-104.64779,2.0,Blowing Snow,22.0,M
2023-01-18,HOUR11.0,39.74037,-104.66328,1.0,Snow,20.0,M
2023-01-18,HOUR12.0,39.73439,-104.34332,2.0,Blowing Snow,38.0,M
2023-01-18,HOUR13.0,39.74013,-104.72876,1.0,Snow,61.0,M
2023-01-18,HOUR13.0,39.72534,-104.26124,2.0,Snow,42.0,M
2023-01-18,HOUR13.0,39.7289,-104.27387,2.0,Blowing Snow,43.0,M
2023-01-18,HOUR13.0,39.7289,-104.27387,3.0,Snow,56.0,M
2023-01-18,HOUR13.0,39.7289,-104.27387,3.0,Snow,47.0,M
2023-01-18,HOUR13.0,39.7289,-104.27387,4.0,Snow,29.0,M
2023-01-18,HOUR13.0,39.72849,-104.27212,2.0,Blowing Snow,69.0,M
2023-01-18,HOUR13.0,39.72864,-104.27207,4.0,Blowing Snow,43.0,M
2023-01-18,HOUR13.0,39.72848,-104.2722,2.0,Blowing Snow,44.0,M
2023-01-18,HOUR13.0,39.72874,-104.27258,3.0,Blowing Snow,56.0,M
2023-01-18,HOUR13.0,39.72825,-104.27174,2.0,Blowing Snow,24.0,M
2023-01-18,HOUR13.0,39.72848,-104.27271,2.0,Blowing Snow,35.0,M
