Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2024-01-01,HOUR10,39.71962,-105.69597,4.0,Clear,37.0,M
2024-01-01,HOUR12,39.72551,-105.18292,1.0,Clear,40.0,F
2024-01-02,HOUR7,39.73544,-104.3926,2.0,Clear,34.0,F
2024-01-03,HOUR15,39.73493,-105.16583,2.0,Clear,43.0,F
2024-01-03,HOUR20,39.72049,-105.18703,2.0,Clear,32.0,M
2024-01-04,HOUR6,39.72707,-105.17627,3.0,Cloudy,21.0,M
2024-01-05,HOUR16,39.74329,-105.49107,2.0,Clear,,
2024-01-05,HOUR21,39.71328,-105.36618,2.0,Clear,46.0,M
2024-01-06,HOUR12,39.74484,-105.4361,1.0,Clear,23.0,M
2024-01-07,HOUR17,39.72376,-105.18157,2.0,Clear,28.0,F
2024-01-07,HOUR17,39.73932,-104.71609,2.0,Clear,,
2024-01-08,HOUR7,39.73355,-104.37994,2.0,Blowing Snow,26.0,M
2024-01-08,HOUR19,39.73998,-104.67453,2.0,Clear,,U
2024-01-09,HOUR2,39.71405,-105.3123,1.0,Blowing Snow,24.0,M
2024-01-09,HOUR13,39.71021,-105.2952,5.0,Wind,39.0,F
2024-01-10,HOUR9,39.72348,-105.41644,1.0,Clear,25.0,F
2024-01-10,HOUR9,39.74563,-105.43819,2.0,Clear,48.0,F
2024-01-10,HOUR12,39.73684,-105.43047,1.0,Clear,54.0,M
2024-01-13,HOUR10,39.72989,-105.69267,2.0,Snow,22.0,M
2024-01-14,HOUR8,39.7456,-105.43799,2.0,Snow,32.0,F
2024-01-14,HOUR9,39.74439,-105.44226,1.0,Snow,31.0,M
2024-01-15,HOUR4,39.73859,-104.64285,2.0,Blowing Snow,33.0,M
2024-01-15,HOUR11,39.7386,-104.47025,1.0,Snow,34.0,M
2024-01-15,HOUR11,39.73941,-104.63101,2.0,Snow,,U
2024-01-15,HOUR14,39.71806,-104.23072,1.0,Snow,56.0,F
2024-01-15,HOUR14,39.7385,-104.42141,1.0,Clear,49.0,M
2024-01-15,HOUR19,39.71229,-105.36061,1.0,Clear,24.0,M
2024-01-15,HOUR23,39.73958,-104.62992,2.0,Clear,21.0,M
2024-01-16,HOUR7,39.74521,-105.46706,2.0,Clear,23.0,F
2024-01-16,HOUR7,39.71605,-105.39168,2.0,Wind,42.0,M
2024-01-19,HOUR16,39.72849,-105.42348,2.0,Clear,21.0,M
2024-01-21,HOUR15,39.72493,-105.17974,2.0,Clear,29.0,M
2024-01-21,HOUR21,39.71305,-105.36727,2.0,Clear,23.0,M
2024-01-26,HOUR6,39.73343,-104.36193,1.0,Cloudy,54.0,M
2024-01-26,HOUR7,39.7155,-104.22045,1.0,Cloudy,42.0,M
2024-01-26,HOUR18,39.73923,-104.55513,2.0,Cloudy,30.0,M
2024-01-27,HOUR5,39.72554,-105.4201,3.0,Clear,21.0,M
2024-01-27,HOUR16,39.71018,-105.35016,2.0,Clear,,U
2024-01-28,HOUR21,39.74962,-105.54895,2.0,Clear,50.0,M
2024-01-29,HOUR21,39.70893,-105.28623,1.0,Clear,41.0,F
2024-01-30,HOUR17,39.73271,-105.16817,2.0,Clear,21.0,M
2024-01-31,HOUR0,39.74607,-105.46578,1.0,,22.0,M
2024-01-31,HOUR10,39.71883,-105.18858,2.0,Clear,,U
2024-01-31,HOUR10,39.71883,-105.18858,2.0,Clear,,
2024-02-01,HOUR20,39.74061,-104.73158,1.0,Clear,28.0,F
2024-02-03,HOUR2,39.74083,-105.51685,1.0,Snow,33.0,M
2024-02-03,HOUR4,39.73908,-104.5455,1.0,Rain,23.0,M
2024-02-03,HOUR4,39.73908,-104.5455,2.0,Rain,23.0,M
2024-02-03,HOUR4,39.73908,-104.5455,3.0,Rain,23.0,M
2024-02-03,HOUR8,39.73779,-104.41603,1.0,Snow,37.0,M
2024-02-03,HOUR8,39.73918,-104.55615,1.0,Snow,51.0,M
2024-02-03,HOUR8,39.74024,-104.73124,1.0,Snow,33.0,M
2024-02-03,HOUR9,39.73844,-104.63434,1.0,Snow,22.0,F
2024-02-03,HOUR9,39.73818,-104.64082,1.0,Snow,28.0,M
2024-02-03,HOUR9,39.74019,-104.67833,2.0,Snow,20.0,F
2024-02-03,HOUR9,39.73808,-104.43671,2.0,Snow,36.0,M
2024-02-03,HOUR10,39.71553,-104.21956,1.0,Snow,31.0,M
2024-02-03,HOUR10,39.74025,-104.69178,1.0,Snow,28.0,M
2024-02-03,HOUR11,39.74024,-104.68823,1.0,Snow,26.0,M
2024-02-03,HOUR11,39.74022,-104.69414,3.0,Snow,45.0,M
2024-02-03,HOUR12,39.70905,-105.2868,2.0,Snow,31.0,F
2024-02-03,HOUR12,39.70905,-105.2868,2.0,Snow,29.0,M
2024-02-03,HOUR12,39.74021,-104.68101,1.0,Snow,24.0,M
2024-02-03,HOUR13,39.74009,-104.72503,1.0,Snow,,U
2024-02-03,HOUR14,39.71281,-105.35579,1.0,Snow,48.0,F
2024-02-04,HOUR11,39.71242,-105.30371,3.0,Clear,20.0,M
2024-02-05,HOUR7,39.73269,-105.1686,2.0,Clear,23.0,F
2024-02-05,HOUR16,39.74047,-105.52013,1.0,Clear,21.0,M
2024-02-05,HOUR17,39.73951,-105.68556,2.0,Clear,27.0,M
2024-02-05,HOUR18,39.73117,-105.16942,2.0,Clear,20.0,F
2024-02-06,HOUR17,39.74012,-104.71983,2.0,Clear,46.0,F
2024-02-08,HOUR17,39.72401,-105.181,2.0,Clear,20.0,M
