Date,Time,Latitude,Longitude,Vehicles,Condition,Driver Age,Driver Sex
2022-02-27,HOUR11,39.714325,-105.192405,2.0,Clear,18.0,F
2022-02-27,HOUR19,39.73271,-105.16807,3.0,Cloudy,43.0,M
2022-02-28,HOUR0,39.741,-105.51382,1.0,Clear,27.0,F
2022-03-04,HOUR22,39.74564,-105.43888,1.0,Cloudy,19.0,M
2022-03-06,HOUR5,39.74686,-105.463,2.0,Snow,22.0,F
2022-03-06,HOUR9,39.71255,-105.31506,2.0,Snow,41.0,F
2022-03-06,HOUR19,39.74061,-104.60316,1.0,Snow,,
2022-03-06,HOUR21,39.715184,-104.220504,1.0,Clear,51.0,M
2022-03-06,HOUR23,39.7279,-105.42318,2.0,Snow,23.0,M
2022-03-07,HOUR16,39.73937,-104.56581,2.0,Clear,35.0,M
2022-03-07,HOUR17,39.73987,-104.71787,2.0,Clear,28.0,F
2022-03-08,HOUR19,39.70949,-105.28605,2.0,Clear,,
2022-03-09,HOUR14,39.74554,-105.45822,2.0,Snow,34.0,M
2022-03-10,HOUR7,39.74018,-104.72255,1.0,Cloudy,59.0,M
2022-03-11,HOUR18,39.744,-105.5352,2.0,Clear,18.0,F
2022-03-12,HOUR6,39.72818,-105.42286,2.0,Wind,52.0,F
2022-03-12,HOUR19,39.72382,-105.18138,2.0,Clear,16.0,F
2022-03-13,HOUR6,39.73996,-104.57861,1.0,Clear,19.0,M
2022-03-13,HOUR11,39.71572,-105.38418,2.0,Clear,52.0,M
2022-03-15,HOUR6,39.740109,-104.726463,1.0,Clear,51.0,M
2022-03-15,HOUR13,39.74257,-105.43302,2.0,Clear,18.0,F
2022-03-15,HOUR15,39.74041,-105.49842,2.0,Clear,16.0,M
2022-03-16,HOUR4,39.74534,-105.46672,1.0,Clear,25.0,M
2022-03-17,HOUR8,39.74244,-104.73645,1.0,Snow,32.0,F
2022-03-17,HOUR8,39.74018,-104.73861,3.0,Snow,61.0,F
2022-03-17,HOUR16,39.7396,-104.71602,2.0,Cloudy,16.0,F
2022-03-17,HOUR19,39.7402,-104.663214,1.0,Clear,33.0,M
2022-03-18,HOUR16,39.71987,-104.23824,1.0,Clear,34.0,M
2022-03-19,HOUR4,39.7403,-105.5049,1.0,Clear,58.0,M
2022-03-19,HOUR15,39.72359,-105.18175,2.0,Clear,40.0,M
2022-03-20,HOUR12,39.73633,-105.71098,2.0,Cloudy,19.0,M
2022-03-21,HOUR7,39.7195,-105.82454,1.0,Snow,17.0,F
2022-03-22,HOUR17,39.71631,-105.39664,1.0,Snow,43.0,F
2022-03-23,HOUR13,39.74556,-105.43771,1.0,Clear,,
2022-03-23,HOUR15,39.7283111,-104.2730944,2.0,Clear,62.0,M
2022-03-25,HOUR17,39.73767,-105.68649,2.0,Clear,17.0,M
2022-03-25,HOUR20,39.71543,-105.38361,1.0,Clear,19.0,M
2022-03-26,HOUR0,39.73402,-105.42808,2.0,Clear,22.0,M
2022-03-28,HOUR23,39.74563,-105.43937,2.0,Clear,48.0,M
2022-03-29,HOUR13,39.74282,-105.52755,1.0,Clear,53.0,M
2022-03-29,HOUR18,39.70841,-105.28247,1.0,Snow,42.0,M
2022-03-31,HOUR22,39.70887,-104.20369,3.0,Clear,19.0,M
2022-04-01,HOUR14,39.7412,-105.4332,2.0,Clear,28.0,F
2022-04-02,HOUR19,39.71283,-105.36615,1.0,Clear,31.0,M
2022-04-05,HOUR15,39.71307,-105.19258,1.0,Clear,22.0,M
2022-04-07,HOUR18,39.7402,-104.663214,2.0,Clear,57.0,M
2022-04-07,HOUR21,39.738127,-104.440155,2.0,Clear,,
2022-04-08,HOUR21,39.74563,-105.43852,2.0,Clear,,
2022-04-09,HOUR3,39.73888,-104.52696,1.0,Cloudy,,
2022-04-09,HOUR21,39.74332,-105.45293,2.0,Clear,39.0,F
