Date,Time,Vehicles,CONDITION,Latitude,Longitude,Driver Age,Driver Sex
2015-02-15,2115.0,2,SNOWY,39.72492,-105.179715,56,M
2015-02-15,2230.0,2,SNOWY,39.74476,-105.474737,18,M
2015-02-16,630.0,1,SNOWY W/VIS ICY ROAD TREATMENT,39.740118,-104.722211,49,F
2015-02-16,1705.0,2,ICY,39.742095,-105.156278,43,M
2015-02-17,530.0,1,WET W/VIS ICY ROAD TREATMENT,39.740121,-104.71988,33,M
2015-02-17,600.0,1,ICY W/VIS ICY ROAD TREATMENT,39.708501,-105.196869,35,F
2015-02-17,720.0,2,ICY,39.7089,-105.284318,54,F
2015-02-19,430.0,2,DRY,39.714292,-105.369168,26,M
2015-02-20,1145.0,2,DRY,39.7421,-104.735721,20,F
2015-02-21,1428.0,1,SNOWY,39.744939,-105.468351,65,F
2015-02-21,1700.0,2,SNOWY W/VIS ICY ROAD TREATMENT,39.740309,-105.504954,21,M
2015-02-21,1900.0,2,ICY,39.711541,-106.703319,26,F
2015-02-21,1902.0,1,ICY,39.711283,-106.705121,57,M
2015-02-21,1910.0,1,ICY,39.711283,-106.705121,33,F
2015-02-21,1930.0,2,SNOWY W/VIS ICY ROAD TREATMENT,39.741474,-105.52298,41,F
2015-02-22,726.0,1,ICY W/VIS ICY ROAD TREATMENT,39.739931,-104.607227,65,M
2015-02-22,853.0,1,DRY,39.736506,-104.400821,30,M
2015-02-22,1001.0,2,ICY,39.737065,-104.404398,44,M
2015-02-22,1200.0,2,SLUSHY,39.721551,-105.41114,18,M
2015-02-22,1745.0,1,SNOWY,39.714292,-105.369168,36,M
2015-02-23,854.0,2,ICY W/VIS ICY ROAD TREATMENT,39.745104,-105.436654,21,F
2015-02-23,1040.0,2,DRY,39.73989,-104.602442,19,M
2015-02-23,1802.0,2,SNOWY,39.739791,-105.159158,49,M
2015-02-24,1030.0,1,DRY,39.734259,-105.689664,56,F
2015-02-24,1200.0,2,DRY,39.737692,-105.431195,38,M
2015-02-24,1730.0,3,DRY,39.733747,-105.166764,43,M
2015-02-25,1720.0,1,SNOWY,39.738261,-104.50673,46,M
2015-02-25,2008.0,2,SNOWY,39.73256,-105.168261,22,M
2015-02-26,915.0,2,ICY,39.744549,-105.680085,78,M
2015-02-26,1604.0,1,ICY,39.73754,-105.162007,18,M
2015-02-27,37.0,2,SNOWY,39.711954,-105.194215,18,M
2015-02-27,730.0,2,WET W/VIS ICY ROAD TREATMENT,39.71381,-105.696783,0,
2015-02-27,1100.0,1,SNOWY,39.741091,-105.157531,50,F
2015-02-27,1115.0,8,SLUSHY,39.712381,-105.193904,32,M
2015-02-27,1710.0,2,ICY,39.723556,-105.181817,46,M
2015-02-27,1747.0,3,ICY,39.723556,-105.181817,29,F
2015-03-02,555.0,1,ICY,39.710538,-106.713253,57,M
2015-03-02,700.0,1,DRY,39.71422,-104.217639,0,M
2015-03-02,850.0,2,DRY,39.72492,-105.179715,61,F
2015-03-03,2220.0,1,SNOWY,39.738204,-104.476695,21,F
2015-03-03,2320.0,2,SNOWY,39.721725,-104.246805,40,M
2015-03-04,20.0,1,ICY,39.733129,-104.379245,25,M
2015-03-05,1828.0,2,DRY,39.740116,-104.723995,57,F
2015-03-06,1630.0,3,DRY,39.724178,-105.694861,23,M
2015-03-06,2037.0,2,DRY,39.742029,-105.494211,29,M
2015-03-07,1000.0,2,DRY,39.741361,-105.512107,66,F
2015-03-07,1415.0,2,DRY,39.734671,-105.165609,48,M
2015-03-07,1526.0,3,DRY,39.720265,-105.695789,60,M
2015-03-07,1555.0,2,DRY,39.744354,-105.434957,82,M
2015-03-07,1730.0,2,DRY,39.715248,-105.696558,20,M
2015-03-07,2121.0,2,DRY,39.746644,-105.464854,0,
2015-03-07,2125.0,1,DRY,39.745626,-105.466445,18,M
2015-03-08,1345.0,2,DRY,39.713422,-105.30771,63,M
2015-03-08,1440.0,2,DRY,39.716698,-105.696332,37,F
2015-03-08,1742.0,2,DRY,39.741474,-105.52298,73,F
2015-03-09,641.0,1,DRY,39.738205,-104.477461,38,M
