COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20250101,P,5,13,13,9,18,50,65,81,154,284,616,842,830,969,987,828,688,778,738,233,141,85,30,18,01/01/2025
000223,20250101,S,22,18,12,21,46,99,237,523,731,751,678,512,503,499,402,370,310,199,126,114,96,55,54,11,01/01/2025
000223,20250102,P,6,4,5,5,20,47,97,106,183,196,368,572,502,643,519,733,924,747,452,193,91,52,26,12,01/02/2025
000223,20250102,S,11,7,8,12,53,121,174,448,756,754,625,615,641,504,436,445,373,248,192,150,112,63,47,30,01/02/2025
000223,20250103,P,11,3,8,8,19,53,78,134,237,291,431,547,548,790,914,1023,992,935,457,174,94,50,30,18,01/03/2025
000223,20250103,S,12,7,10,15,39,103,189,585,834,783,812,728,614,567,416,467,470,365,299,289,179,129,61,34,01/03/2025
000223,20250104,P,6,12,12,9,33,78,114,127,211,329,511,638,638,957,975,979,929,734,279,215,113,54,37,10,01/04/2025
000223,20250104,S,22,9,8,9,15,139,700,881,822,667,558,451,348,285,285,281,211,146,126,87,91,64,41,21,01/04/2025
000223,20250105,P,9,6,11,6,13,43,55,124,193,391,739,906,834,996,946,846,766,742,288,246,146,50,26,8,01/05/2025
000223,20250105,S,11,9,3,15,13,96,914,839,380,307,301,298,227,198,176,198,145,136,109,89,70,27,39,11,01/05/2025
000223,20250106,P,6,7,6,8,14,47,91,168,219,239,311,369,399,504,630,614,548,379,166,75,33,24,18,4,01/06/2025
000223,20250106,S,2,5,8,8,38,113,146,445,526,510,298,300,207,196,198,214,168,152,109,91,53,39,33,20,01/06/2025
000223,20250107,P,6,4,4,4,14,33,59,102,124,136,159,168,184,226,336,309,312,239,117,42,25,14,7,6,01/07/2025
000223,20250107,S,10,6,7,11,35,89,77,177,269,262,236,172,127,157,148,163,186,144,78,74,75,38,32,20,01/07/2025
000223,20250108,P,0,5,8,5,13,48,52,82,149,195,167,211,300,378,533,613,534,356,122,57,42,30,12,10,01/08/2025
000223,20250108,S,15,4,6,11,59,111,117,345,510,555,405,301,176,196,185,230,218,180,115,88,88,58,31,15,01/08/2025
000223,20250109,P,4,3,3,4,16,43,48,98,131,138,143,181,240,274,343,523,454,344,121,62,38,20,9,9,01/09/2025
000223,20250109,S,15,8,6,7,43,101,97,212,311,426,400,219,189,188,168,223,270,218,213,153,138,92,63,22,01/09/2025
000223,20250110,P,4,4,3,10,10,44,66,120,123,182,237,256,310,461,613,734,624,357,174,86,37,41,18,16,01/10/2025
000223,20250110,S,12,6,5,9,36,100,157,581,673,511,442,357,379,315,344,476,724,760,676,487,364,197,137,50,01/10/2025
000223,20250111,P,5,3,5,5,11,36,39,88,77,199,259,279,391,686,793,937,905,733,586,199,106,48,22,12,01/11/2025
000223,20250111,S,27,4,10,8,39,149,367,978,1087,1025,604,372,302,265,254,289,219,169,148,109,101,68,41,28,01/11/2025
000223,20250112,P,6,2,12,6,15,27,49,91,219,504,816,754,805,945,911,812,760,715,751,527,190,57,33,6,01/12/2025
000223,20250112,S,12,4,5,11,17,99,703,785,617,326,396,320,235,173,197,217,159,117,93,66,51,35,29,10,01/12/2025
000223,20250113,P,3,0,6,5,13,42,116,158,138,196,229,246,306,390,442,455,391,266,144,66,38,27,26,5,01/13/2025
000223,20250113,S,9,8,2,5,38,96,179,312,464,336,347,200,206,176,169,161,181,131,120,75,74,51,34,17,01/13/2025
000223,20250114,P,9,8,7,5,4,35,56,92,156,147,163,170,245,346,415,460,441,284,143,59,26,11,13,3,01/14/2025
000223,20250114,S,16,6,6,8,62,128,133,279,405,487,303,215,156,147,167,181,159,153,102,79,60,51,36,21,01/14/2025
000223,20250115,P,4,3,3,2,9,28,55,96,123,179,190,204,273,362,460,568,555,314,177,77,40,20,11,11,01/15/2025
000223,20250115,S,6,3,4,9,55,122,139,346,501,517,373,265,206,172,169,209,216,150,125,108,73,69,54,26,01/15/2025
000223,20250116,P,4,4,4,5,12,36,72,98,139,178,197,203,237,414,561,624,576,354,182,94,52,33,15,11,01/16/2025
000223,20250116,S,13,7,1,5,51,130,142,409,309,540,535,332,316,230,171,344,329,275,238,221,190,98,101,49,01/16/2025
000223,20250117,P,8,3,5,8,22,32,60,77,161,203,245,280,373,535,710,742,513,326,145,59,38,20,19,9,01/17/2025
000223,20250117,S,29,20,6,14,42,122,188,557,643,644,470,403,364,393,451,643,747,692,538,400,237,196,105,76,01/17/2025
000223,20250118,P,8,4,7,4,5,34,43,50,60,134,169,242,309,395,477,444,434,239,221,68,51,27,18,6,01/18/2025
000223,20250118,S,51,27,8,13,16,89,472,487,253,158,222,313,263,236,256,256,195,151,119,85,66,38,34,18,01/18/2025
000223,20250119,P,7,4,11,2,10,13,29,48,108,275,455,532,528,604,531,517,566,296,163,108,78,42,19,9,01/19/2025
000223,20250119,S,14,2,6,6,9,36,229,284,202,197,264,237,223,167,154,177,140,112,61,56,50,24,18,15,01/19/2025
000223,20250120,P,5,4,5,13,18,34,62,142,182,344,633,812,527,579,430,410,427,251,126,59,43,20,14,6,01/20/2025
000223,20250120,S,8,8,5,12,32,79,105,164,194,161,168,148,135,147,175,164,158,127,72,47,44,30,14,19,01/20/2025
000223,20250121,P,3,4,7,2,8,34,77,110,140,153,186,178,169,212,291,338,324,219,123,51,31,18,10,7,01/21/2025
000223,20250121,S,8,5,2,4,48,90,80,163,267,287,240,195,157,175,143,155,146,123,95,57,62,36,23,15,01/21/2025
000223,20250122,P,5,2,4,4,9,37,63,94,124,149,166,168,221,234,279,322,304,193,130,61,34,13,13,10,01/22/2025
000223,20250122,S,6,7,5,11,54,120,95,208,327,293,226,178,168,150,157,194,182,162,111,101,72,69,47,38,01/22/2025
000223,20250123,P,2,1,3,3,14,32,62,95,109,151,160,218,258,312,322,383,356,237,146,70,30,23,12,10,01/23/2025
