COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20240101,P,13,9,10,9,28,47,87,139,222,458,860,1027,992,1014,1045,1027,924,591,322,216,128,66,41,20,01/01/2024
000223,20240101,S,10,8,16,14,11,28,171,593,489,475,576,494,460,389,428,280,287,175,119,96,81,61,23,17,01/01/2024
000223,20240102,P,5,9,3,7,20,82,126,170,267,379,527,556,513,547,721,757,694,499,208,109,60,33,23,15,01/02/2024
000223,20240102,S,17,6,1,8,28,130,170,393,554,572,518,405,364,324,354,349,287,214,150,121,99,64,37,23,01/02/2024
000223,20240103,P,6,11,6,5,20,49,66,125,167,237,323,353,430,469,581,163,953,645,193,138,63,44,24,18,01/03/2024
000223,20240103,S,14,5,6,11,51,130,123,355,594,609,498,393,298,317,283,306,268,227,171,98,90,71,46,24,01/03/2024
000223,20240104,P,3,1,4,8,13,56,69,110,165,221,288,330,386,416,527,599,493,413,252,126,40,39,27,17,01/04/2024
000223,20240104,S,13,17,3,10,46,123,128,320,569,519,458,347,267,265,238,341,304,257,217,153,141,82,51,23,01/04/2024
000223,20240105,P,8,3,6,5,6,46,84,115,143,217,318,424,413,497,685,779,765,560,239,74,46,42,16,17,01/05/2024
000223,20240105,S,23,15,7,9,43,92,124,513,745,657,474,470,382,318,374,458,527,536,384,347,251,145,68,45,01/05/2024
000223,20240106,P,10,8,9,5,24,74,93,125,164,257,478,566,631,869,903,1035,1025,901,659,207,113,53,24,8,01/06/2024
000223,20240106,S,30,17,4,12,26,173,1049,1035,1090,823,560,466,377,319,282,315,274,208,150,123,85,88,43,24,01/06/2024
000223,20240107,P,3,7,17,5,15,30,57,105,200,374,713,937,982,1075,1125,1061,1028,764,733,307,165,60,32,13,01/07/2024
000223,20240107,S,14,9,3,4,20,106,983,1170,1089,364,416,386,280,242,221,202,168,158,124,75,76,62,30,18,01/07/2024
000223,20240108,P,9,3,5,6,17,23,93,138,171,162,270,331,316,426,549,567,483,233,146,55,25,25,11,7,01/08/2024
000223,20240108,S,9,8,9,10,32,88,102,177,457,539,394,250,168,158,186,174,174,142,70,70,54,47,30,19,01/08/2024
000223,20240109,P,5,1,6,2,8,46,61,85,123,161,172,227,258,333,381,468,400,304,113,57,34,25,14,5,01/09/2024
000223,20240109,S,7,5,4,5,38,124,100,268,471,423,347,237,148,171,140,170,169,140,118,94,60,54,27,25,01/09/2024
000223,20240110,P,7,2,3,2,10,42,59,67,87,186,324,196,300,349,380,408,381,215,111,40,12,50,15,16,01/10/2024
000223,20240110,S,12,8,4,17,33,128,109,321,527,416,272,199,159,132,154,146,171,128,90,85,40,78,38,23,01/10/2024
