COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000223,20220101,P,1,4,2,8,23,42,59,114,177,328,464,535,718,598,513,434,370,164,95,60,39,17,9,6,01/01/2022
000223,20220101,S,3,5,7,12,25,167,450,267,196,184,241,198,231,290,253,195,127,102,59,51,47,23,12,12,01/01/2022
000223,20220102,P,4,10,19,17,31,107,129,246,413,794,878,820,962,1002,882,914,817,342,227,137,53,17,11,5,01/02/2022
000223,20220102,S,10,3,5,9,32,248,708,605,510,649,515,383,294,268,258,219,144,121,69,73,42,23,21,12,01/02/2022
000223,20220103,P,2,1,2,19,32,91,132,196,249,366,454,518,661,789,967,899,539,250,117,71,36,17,9,5,01/03/2022
000223,20220103,S,11,10,12,26,80,141,422,698,645,620,555,380,243,235,205,206,153,127,78,52,42,29,23,12,01/03/2022
000223,20220104,P,2,3,3,9,33,63,103,152,239,293,325,329,378,398,392,334,234,122,75,38,25,14,10,10,01/04/2022
000223,20220104,S,6,11,6,42,105,82,310,417,314,274,210,179,169,191,196,197,158,104,77,65,44,18,11,12,01/04/2022
000223,20220105,P,3,5,4,7,22,66,58,76,130,186,197,222,252,275,316,265,128,80,38,16,37,19,4,1,01/05/2022
000223,20220105,S,9,6,9,38,122,87,274,376,331,201,147,147,140,115,130,120,92,93,64,47,48,21,8,8,01/05/2022
000223,20220106,P,0,4,4,6,13,25,27,275,106,137,53,87,146,176,172,244,172,114,57,27,21,15,4,4,01/06/2022
000223,20220106,S,5,8,17,35,104,87,264,245,165,120,216,286,193,182,208,215,185,137,122,102,83,49,22,21,01/06/2022
000223,20220108,P,9,11,8,7,15,55,54,98,114,298,498,562,525,612,835,769,869,801,374,256,82,48,22,8,01/08/2022
000223,20220108,S,34,17,13,7,12,127,792,1077,1133,777,657,432,387,320,241,252,193,165,123,132,94,59,42,24,01/08/2022
000223,20220109,P,4,3,5,5,14,21,58,78,141,347,628,811,883,966,897,914,929,859,818,845,463,130,26,8,01/09/2022
000223,20220109,S,10,1,5,7,9,67,751,1014,907,721,486,371,292,237,204,226,169,127,73,67,76,32,23,22,01/09/2022
000223,20220110,P,7,4,3,8,5,37,121,170,200,197,277,242,307,374,492,484,438,287,154,56,46,32,11,7,01/10/2022
000223,20220110,S,8,4,3,5,27,95,117,370,505,416,339,227,178,152,165,201,150,143,93,85,45,39,28,15,01/10/2022
000223,20220111,P,6,4,3,5,12,33,56,96,127,166,178,183,279,312,386,461,415,239,148,63,41,38,14,4,01/11/2022
000223,20220111,S,7,2,3,9,32,112,117,295,471,390,290,203,169,152,162,180,197,149,116,77,59,38,32,14,01/11/2022
000223,20220112,P,7,6,5,8,19,39,56,77,127,183,181,210,287,338,456,521,449,300,174,55,36,22,10,5,01/12/2022
000223,20220112,S,7,6,4,10,32,124,130,369,491,451,301,236,197,146,171,166,196,184,115,100,66,43,31,24,01/12/2022
000223,20220113,P,4,2,4,5,6,43,76,112,141,167,208,214,264,367,413,513,512,313,177,76,50,22,11,10,01/13/2022
000223,20220113,S,10,8,3,7,32,115,101,324,485,421,344,281,247,199,268,253,298,271,237,187,171,101,62,35,01/13/2022
000223,20220114,P,9,3,2,3,13,32,56,97,128,207,219,232,226,370,388,578,499,377,141,77,52,23,20,16,01/14/2022
000223,20220114,S,23,15,10,10,27,89,179,387,714,553,367,337,352,413,479,524,732,561,395,649,726,476,175,80,01/14/2022
000223,20220115,P,8,4,4,4,8,24,41,68,94,171,250,322,409,644,756,847,962,763,347,185,97,46,26,11,01/15/2022
000223,20220115,S,38,23,10,13,25,139,712,960,813,671,559,670,674,522,381,381,345,239,184,145,98,75,65,27,01/15/2022
000223,20220116,P,9,3,2,4,5,17,41,73,166,307,464,576,767,906,987,975,940,918,415,263,159,73,35,14,01/16/2022
000223,20220116,S,8,8,4,7,24,99,767,868,718,569,464,481,328,236,207,198,180,168,103,100,72,42,18,20,01/16/2022
000223,20220117,P,12,9,6,5,23,45,107,212,280,577,863,912,932,919,1024,936,972,546,328,186,126,56,24,8,01/17/2022
000223,20220117,S,9,5,5,10,32,114,379,711,705,501,423,316,231,198,135,155,150,149,99,69,54,39,20,9,01/17/2022
