Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20180107,0,0,136,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,1,89,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,2,79,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,3,69,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,4,111,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,5,427,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,6,3060,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,7,3397,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,8,3266,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,9,2606,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,11,2137,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,12,1754,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,13,1820,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,15,1491,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,16,1210,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,17,975,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,18,692,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,19,591,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,20,453,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
20180107,0,21,321,0.27,3.2,,3.200000000000002,0.0,0.0,0.0,0.0,7
