Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20140101,1,2,86,0.12,1.9,13.0,1.9,1.0,26.0,1.0,1.0,3
20140101,0,2,153,0.12,1.9,13.0,1.9,1.0,26.0,1.0,1.0,3
20140101,1,12,2273,0.12,1.9,13.0,1.9,1.0,18.0,1.0,1.0,3
20140101,0,12,1729,0.12,1.9,13.0,1.9,1.0,18.0,1.0,1.0,3
20140105,1,21,1064,0.06,1.1,15.5,8.0,1.0,36.0,1.0,1.0,7
20140105,0,21,242,0.06,1.1,15.5,8.0,1.0,36.0,1.0,1.0,7
20140111,1,12,1889,0.08,0.9,16.5,10.9,2.0,17.0,1.0,1.0,6
20140111,0,12,1545,0.08,0.9,16.5,10.9,2.0,17.0,1.0,1.0,6
20140117,1,20,608,0.0,0.0,16.0,4.300000000000001,2.0,37.0,1.0,1.0,5
20140117,0,20,2873,0.0,0.0,16.0,4.300000000000001,2.0,37.0,1.0,1.0,5
20140117,1,23,152,0.0,0.0,16.0,4.300000000000001,2.0,31.0,1.0,1.0,5
20140117,0,23,434,0.0,0.0,16.0,4.300000000000001,2.0,31.0,1.0,1.0,5
20140119,1,16,2764,0.0,0.0,15.5,2.5,1.0,49.0,1.0,1.0,7
20140119,0,16,1002,0.0,0.0,15.5,2.5,1.0,49.0,1.0,1.0,7
20140120,1,8,1473,0.0,0.0,15.0,1.4,2.0,70.0,1.0,1.0,1
20140120,0,8,2894,0.0,0.0,15.0,1.4,2.0,70.0,1.0,1.0,1
20140123,1,16,1546,0.0,0.0,,0.0,2.0,32.0,1.0,1.0,4
20140123,0,16,1367,0.0,0.0,,0.0,2.0,32.0,1.0,1.0,4
20140128,1,14,1423,0.02,0.4,15.0,1.1,1.0,84.0,1.0,1.0,2
20140128,0,14,834,0.02,0.4,15.0,1.1,1.0,84.0,1.0,1.0,2
20140131,1,18,1858,0.67,5.6,23.0,8.6,1.0,19.0,1.0,1.0,5
20140131,0,18,1224,0.67,5.6,23.0,8.6,1.0,19.0,1.0,1.0,5
20140131,1,19,893,0.67,5.6,23.0,8.6,3.0,50.0,1.0,2.0,5
20140131,0,19,934,0.67,5.6,23.0,8.6,3.0,50.0,1.0,2.0,5
20140201,1,1,68,0.21,2.4,22.5,11.0,1.0,71.0,1.0,1.0,6
20140201,0,1,178,0.21,2.4,22.5,11.0,1.0,71.0,1.0,1.0,6
20140208,1,17,1972,0.35,6.2,,14.1,2.0,36.0,1.0,1.0,6
20140208,0,17,1118,0.35,6.2,,14.1,2.0,36.0,1.0,1.0,6
20140212,1,0,85,0.01,0.2,,10.199999999999992,2.0,40.0,1.0,1.0,3
20140212,0,0,146,0.01,0.2,,10.199999999999992,2.0,40.0,1.0,1.0,3
20140212,1,8,743,0.01,0.2,,10.199999999999992,2.0,45.0,1.0,1.0,3
20140212,0,8,1867,0.01,0.2,,10.199999999999992,2.0,45.0,1.0,1.0,3
20140215,1,6,270,0.0,0.0,22.0,12.699999999999989,3.0,29.0,1.0,1.0,6
20140215,0,6,2492,0.0,0.0,22.0,12.699999999999989,3.0,29.0,1.0,1.0,6
