Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20140708,0,8,1069,0.0,0.0,,0.0,2.0,50.0,1.0,2.0,2
20140708,1,11,1502,0.0,0.0,,0.0,1.0,59.0,1.0,2.0,2
20140708,0,11,1412,0.0,0.0,,0.0,1.0,59.0,1.0,2.0,2
20140711,1,17,1999,,,,,3.0,19.0,1.0,2.0,5
20140711,0,17,2855,,,,,3.0,19.0,1.0,2.0,5
20140713,1,15,2593,,,,,2.0,18.0,1.0,2.0,7
20140713,0,15,1579,,,,,2.0,18.0,1.0,2.0,7
20140714,1,8,1130,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,1
20140714,0,8,1303,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,1
20140714,1,17,1511,0.0,0.0,,0.0,2.0,61.0,1.0,2.0,1
20140714,0,17,1079,0.0,0.0,,0.0,2.0,61.0,1.0,2.0,1
20140716,1,7,758,,,,,2.0,34.0,1.0,2.0,3
20140716,0,7,996,,,,,2.0,34.0,1.0,2.0,3
20140716,1,14,1779,,,,,2.0,70.0,1.0,2.0,3
20140716,0,14,1591,,,,,2.0,70.0,1.0,2.0,3
20140717,1,10,1364,,,,,2.0,58.0,1.0,2.0,4
20140717,0,10,2141,,,,,2.0,58.0,1.0,2.0,4
20140718,1,16,2076,0.0,0.0,,0.0,2.0,25.0,1.0,2.0,5
20140718,0,16,2789,0.0,0.0,,0.0,2.0,25.0,1.0,2.0,5
20140718,1,19,1210,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,5
20140718,0,19,2783,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,5
20140719,1,15,2548,0.0,0.0,,0.0,2.0,19.0,1.0,2.0,6
20140719,0,15,2535,0.0,0.0,,0.0,2.0,19.0,1.0,2.0,6
20140719,1,19,1846,0.0,0.0,,0.0,1.0,19.0,1.0,2.0,6
20140719,0,19,1061,0.0,0.0,,0.0,1.0,19.0,1.0,2.0,6
20140724,1,6,478,0.0,0.0,,0.0,2.0,24.0,1.0,2.0,4
20140724,0,6,845,0.0,0.0,,0.0,2.0,24.0,1.0,2.0,4
20140724,1,12,1568,0.0,0.0,,0.0,1.0,47.0,1.0,2.0,4
20140724,0,12,2035,0.0,0.0,,0.0,1.0,47.0,1.0,2.0,4
20140725,1,9,1343,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,5
20140725,0,9,2507,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,5
20140727,1,19,2693,0.0,0.0,,2.499999999999993,2.0,63.0,1.0,2.0,7
20140727,0,19,957,0.0,0.0,,2.499999999999993,2.0,63.0,1.0,2.0,7
20140803,1,20,2182,0.0,0.0,,0.0,1.0,40.0,1.0,2.0,7
20140803,0,20,780,0.0,0.0,,0.0,1.0,40.0,1.0,2.0,7
20140804,1,5,385,0.0,0.0,,0.0,1.0,19.0,1.0,2.0,1
20140804,0,5,539,0.0,0.0,,0.0,1.0,19.0,1.0,2.0,1
20140804,1,6,800,0.0,0.0,,0.0,1.0,56.0,1.0,2.0,1
20140804,0,6,763,0.0,0.0,,0.0,1.0,56.0,1.0,2.0,1
20140804,1,15,1691,0.0,0.0,,0.0,2.0,21.0,1.0,2.0,1
20140804,0,15,1279,0.0,0.0,,0.0,2.0,21.0,1.0,2.0,1
20140809,1,17,2303,0.0,0.0,,0.0,2.0,19.0,1.0,2.0,6
20140809,0,17,1387,0.0,0.0,,0.0,2.0,19.0,1.0,2.0,6
20140810,1,10,2872,0.0,0.0,,0.0,2.0,62.0,1.0,2.0,7
20140810,0,10,2161,0.0,0.0,,0.0,2.0,62.0,1.0,2.0,7
20140811,1,20,767,,,,,1.0,62.0,1.0,2.0,1
20140811,0,20,615,,,,,1.0,62.0,1.0,2.0,1
20140812,1,9,1105,0.0,0.0,,0.0,2.0,67.0,1.0,2.0,2
20140812,0,9,1619,0.0,0.0,,0.0,2.0,67.0,1.0,2.0,2
20140816,1,7,646,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,6
20140816,0,7,2202,0.0,0.0,,0.0,2.0,20.0,1.0,2.0,6
20140820,1,15,1812,,,,,2.0,24.0,1.0,2.0,3
20140820,0,15,1353,,,,,2.0,24.0,1.0,2.0,3
20140820,1,17,1498,,,,,3.0,17.0,1.0,2.0,3
20140820,0,17,1162,,,,,3.0,17.0,1.0,2.0,3
20140831,1,11,2561,,,,,1.0,22.0,1.0,2.0,7
20140831,0,11,2732,,,,,1.0,22.0,1.0,2.0,7
20140906,1,17,1937,0.0,0.0,,0.0,2.0,51.0,1.0,2.0,6
20140906,0,17,1296,0.0,0.0,,0.0,2.0,51.0,1.0,2.0,6
20140908,1,12,1377,,,,,2.0,40.0,1.0,2.0,1
20140908,0,12,1622,,,,,2.0,40.0,1.0,2.0,1
20140913,1,12,1719,0.0,0.0,,0.0,3.0,48.0,1.0,2.0,6
20140913,0,12,2668,0.0,0.0,,0.0,3.0,48.0,1.0,2.0,6
20140920,1,9,1244,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,6
20140920,0,9,2675,0.0,0.0,,0.0,2.0,23.0,1.0,2.0,6
20141004,1,11,1616,0.0,0.0,,0.5,1.0,36.0,1.0,2.0,6
20141004,0,11,2636,0.0,0.0,,0.5,1.0,36.0,1.0,2.0,6
20141004,1,12,1689,0.0,0.0,,0.5,2.0,18.0,1.0,2.0,6
20141004,0,12,2236,0.0,0.0,,0.5,2.0,18.0,1.0,2.0,6
20141007,1,8,736,0.0,0.0,,0.5,2.0,22.0,1.0,2.0,2
20141007,0,8,1050,0.0,0.0,,0.5,2.0,22.0,1.0,2.0,2
20141008,1,9,1016,0.0,0.0,,0.5,2.0,22.0,1.0,2.0,3
20141008,0,9,1277,0.0,0.0,,0.5,2.0,22.0,1.0,2.0,3
20141016,1,12,1063,0.0,0.0,,0.0,2.0,41.0,1.0,2.0,4
20141016,0,12,1642,0.0,0.0,,0.0,2.0,41.0,1.0,2.0,4
20141017,1,13,1565,0.0,0.0,,0.0,1.0,65.0,1.0,2.0,5
20141017,0,13,1775,0.0,0.0,,0.0,1.0,65.0,1.0,2.0,5
20141018,1,14,1866,0.0,0.0,,0.0,2.0,28.0,1.0,2.0,6
20141018,0,14,1716,0.0,0.0,,0.0,2.0,28.0,1.0,2.0,6
20141020,1,18,1048,0.0,0.0,,0.0,2.0,18.0,1.0,2.0,1
20141020,0,18,838,0.0,0.0,,0.0,2.0,18.0,1.0,2.0,1
20141022,1,15,1495,,,,,1.0,36.0,1.0,2.0,3
20141022,0,15,996,,,,,1.0,36.0,1.0,2.0,3
20141023,1,18,1041,,,,,1.0,66.0,1.0,2.0,4
20141023,0,18,931,,,,,1.0,66.0,1.0,2.0,4
20141028,1,8,679,0.02,0.2,,3.699999999999993,1.0,67.0,1.0,2.0,2
20141028,0,8,928,0.02,0.2,,3.699999999999993,1.0,67.0,1.0,2.0,2
20141101,1,19,843,0.0,0.0,,0.6,1.0,23.0,1.0,2.0,6
20141101,0,19,736,0.0,0.0,,0.6,1.0,23.0,1.0,2.0,6
20141106,1,23,131,0.0,0.0,,1.0,1.0,24.0,1.0,2.0,4
20141106,0,23,184,0.0,0.0,,1.0,1.0,24.0,1.0,2.0,4
20141114,1,22,203,0.2,2.5,,20.300000000000004,1.0,27.0,1.0,2.0,5
20141114,0,22,351,0.2,2.5,,20.300000000000004,1.0,27.0,1.0,2.0,5
20141117,1,17,1414,0.0,0.0,,8.100000000000001,1.0,26.0,1.0,2.0,1
20141117,0,17,820,0.0,0.0,,8.100000000000001,1.0,26.0,1.0,2.0,1
20141117,1,18,724,0.0,0.0,,8.100000000000001,2.0,19.0,1.0,2.0,1
