Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20210107,1,0,107,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,1,89,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,2,68,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,3,67,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,4,121,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,5,219,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,6,391,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,7,627,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,8,780,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,9,1029,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,10,1262,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,11,1445,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,12,1600,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,13,1977,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,14,2365,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,15,2557,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,16,2690,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,17,2019,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,18,1165,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,19,686,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,21,336,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,22,213,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210107,1,23,151,0.0,0.0,,1.9999999999999984,0.0,0.0,0.0,0.0,4
20210304,1,0,109,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,1,101,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,2,50,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,3,82,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,4,122,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,5,233,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,6,413,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,7,598,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,9,943,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,10,1156,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,11,1274,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,13,1398,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,14,1757,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,15,1774,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,17,1519,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,18,809,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,19,595,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,20,414,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,21,271,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,22,303,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210304,1,23,170,0.0,0.0,,3.0999999999999988,0.0,0.0,0.0,0.0,4
20210408,1,7,681,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,8,882,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,9,1109,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,10,1333,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,11,1499,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,12,1584,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,13,1738,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,14,1896,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,15,2073,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,16,2085,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,17,1784,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,18,1254,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
20210408,1,19,850,0.0,0.0,,0.6999999999999991,0.0,0.0,0.0,0.0,4
