Date,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
20220121,1,0,102,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,1,77,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,2,64,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,3,99,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,4,107,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,5,176,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,6,371,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,7,534,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,8,731,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,9,880,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,10,1196,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,11,1369,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,12,1549,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,13,1890,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,14,2022,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,15,1833,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,16,2006,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,17,1574,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,18,1536,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,19,835,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,20,440,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,21,425,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,22,282,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220121,1,23,202,0.07,1.3,,2.299999999999998,0.0,0.0,0.0,0.0,5
20220126,1,0,94,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,1,58,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,2,41,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,3,71,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,4,103,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,5,198,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,6,421,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,7,630,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,8,804,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,9,1057,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
20220126,1,18,1177,0.06,0.8,,4.199999999999998,0.0,0.0,0.0,0.0,3
