Statistics for cluster_489.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW   SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF  DayOfWeek
count  2.094000e+03     2094.0  2094.000000  2094.000000  1897.000000  1913.000000  104.0   1913.000000    2094.0      2094.0          2094.0  2094.0     2094.0
mean   2.022548e+07        1.0    14.745463  1284.574021     0.005720     0.006952    0.0      0.603711       0.0         0.0             0.0     0.0        4.0
std    1.144890e+04        0.0     5.106853   675.968291     0.017159     0.034665    0.0      0.994363       0.0         0.0             0.0     0.0        0.0
min    2.021011e+07        1.0     0.000000    50.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0        4.0
25%    2.021112e+07        1.0    11.000000   753.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0        4.0
50%    2.022112e+07        1.0    15.000000  1265.500000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0        4.0
75%    2.024010e+07        1.0    19.000000  1795.000000     0.000000     0.000000    0.0      0.900000       0.0         0.0             0.0     0.0        4.0
max    2.024122e+07        1.0    23.000000  3243.000000     0.100000     0.300000    0.0      3.700000       0.0         0.0             0.0     0.0        4.0

