Statistics for cluster_12.csv:
               Date  Direction          Time       TRAFFIC         PRCP         SNOW        SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code     MorF     DayOfWeek
count  1.008400e+04    10084.0  10084.000000  10084.000000  9141.000000  9143.000000  462.000000   9143.000000   10084.0     10084.0         10084.0  10084.0  10084.000000
mean   2.017445e+07        0.0     12.638437   1278.944764     0.004602     0.048562    0.937229      4.260276       0.0         0.0             0.0      0.0      4.860571
std    2.887624e+04        0.0      6.077255    868.982901     0.014837     0.166014    1.597571      4.891964       0.0         0.0             0.0      0.0      1.981867
min    2.014011e+07        0.0      0.000000      0.000000     0.000000     0.000000    0.000000      0.000000       0.0         0.0             0.0      0.0      1.000000
25%    2.015111e+07        0.0      8.000000    534.750000     0.000000     0.000000    0.000000      0.000000       0.0         0.0             0.0      0.0      3.000000
50%    2.016122e+07        0.0     13.000000   1164.500000     0.000000     0.000000    0.000000      2.300000       0.0         0.0             0.0      0.0      6.000000
75%    2.018113e+07        0.0     18.000000   1846.000000     0.000000     0.000000    2.000000      7.400000       0.0         0.0             0.0      0.0      6.000000
max    2.024121e+07        0.0     23.000000   3796.000000     0.100000     1.500000    5.500000     22.100000       0.0         0.0             0.0      0.0      7.000000

