Statistics for cluster_126.csv:
               Date  Direction       Time      TRAFFIC        PRCP        SNOW  SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code   MorF   DayOfWeek
count  9.260000e+02      926.0  926.00000   926.000000  796.000000  796.000000  50.0    796.000000     926.0       926.0           926.0  926.0  926.000000
mean   2.022815e+07        0.0   14.75162  1895.076674    0.004912    0.010176   0.0      0.157161       0.0         0.0             0.0    0.0    5.099352
std    2.616946e+04        0.0    4.87585   872.025449    0.013584    0.052934   0.0      0.336368       0.0         0.0             0.0    0.0    0.299296
min    2.015012e+07        0.0    6.00000   242.000000    0.000000    0.000000   0.0      0.000000       0.0         0.0             0.0    0.0    5.000000
25%    2.023080e+07        0.0   11.00000  1152.000000    0.000000    0.000000   0.0      0.000000       0.0         0.0             0.0    0.0    5.000000
50%    2.024020e+07        0.0   15.00000  1952.500000    0.000000    0.000000   0.0      0.000000       0.0         0.0             0.0    0.0    5.000000
75%    2.024080e+07        0.0   19.00000  2682.500000    0.000000    0.000000   0.0      0.200000       0.0         0.0             0.0    0.0    5.000000
max    2.024122e+07        0.0   23.00000  3471.000000    0.100000    0.400000   0.0      1.800000       0.0         0.0             0.0    0.0    6.000000

