Statistics for cluster_506.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW   SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF    DayOfWeek
count  1.543000e+03     1543.0  1543.000000  1543.000000  1460.000000  1460.000000  163.0   1460.000000    1543.0      1543.0          1543.0  1543.0  1543.000000
mean   2.023291e+07        0.0    10.661050   978.821776     0.016116     0.104452    0.0      0.708493       0.0         0.0             0.0     0.0     2.804925
std    8.864187e+03        0.0     6.584369   648.575188     0.027079     0.249772    0.0      3.100009       0.0         0.0             0.0     0.0     0.514563
min    2.021041e+07        0.0     0.000000    44.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     1.000000
25%    2.023061e+07        0.0     5.000000   315.500000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     3.000000
50%    2.023112e+07        0.0    11.000000  1019.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     3.000000
75%    2.024072e+07        0.0    16.000000  1474.000000     0.030000     0.000000    0.0      0.700000       0.0         0.0             0.0     0.0     3.000000
max    2.024122e+07        0.0    23.000000  2918.000000     0.100000     1.500000    0.0     38.100000       0.0         0.0             0.0     0.0     6.000000

