Statistics for cluster_78.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW         SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF    DayOfWeek
count  6.587000e+03     6587.0  6587.000000  6587.000000  6248.000000  6272.000000  1017.000000   6272.000000    6587.0      6587.0          6587.0  6587.0  6587.000000
mean   2.022494e+07        1.0    12.422954  1246.391529     0.068396     0.053173     0.371780      1.387261       0.0         0.0             0.0     0.0     3.338242
std    1.748019e+04        0.0     6.504030   960.420846     0.126417     0.180582     1.250433      2.448930       0.0         0.0             0.0     0.0     2.187686
min    2.014051e+07        1.0     0.000000     0.000000     0.000000     0.000000     0.000000      0.000000       0.0         0.0             0.0     0.0     1.000000
25%    2.022052e+07        1.0     7.000000   357.000000     0.000000     0.000000     0.000000      0.000000       0.0         0.0             0.0     0.0     1.000000
50%    2.023062e+07        1.0    13.000000  1100.000000     0.000000     0.000000     0.000000      0.000000       0.0         0.0             0.0     0.0     3.000000
75%    2.023122e+07        1.0    18.000000  1951.000000     0.100000     0.000000     0.000000      1.500000       0.0         0.0             0.0     0.0     5.000000
max    2.024122e+07        1.0    23.000000  4361.000000     0.630000     1.500000     6.000000     10.800000       0.0         0.0             0.0     0.0     7.000000

