Statistics for cluster_170.csv:
               Date  Direction        Time      TRAFFIC        PRCP        SNOW        SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code   MorF   DayOfWeek
count  5.580000e+02      558.0  558.000000   558.000000  558.000000  558.000000  273.000000    558.000000     558.0       558.0           558.0  558.0  558.000000
mean   2.021383e+07        0.0   11.849462  1160.222222    0.469444    0.351792    0.380586      0.860573       0.0         0.0             0.0    0.0    4.480287
std    2.294890e+04        0.0    6.921379   881.138482    0.105345    0.692500    0.740347      1.506046       0.0         0.0             0.0    0.0    2.017555
min    2.015102e+07        0.0    0.000000    60.000000    0.300000    0.000000    0.000000      0.000000       0.0         0.0             0.0    0.0    1.000000
25%    2.019043e+07        0.0    6.000000   337.250000    0.360000    0.000000    0.000000      0.000000       0.0         0.0             0.0    0.0    3.000000
50%    2.022082e+07        0.0   12.000000  1043.500000    0.460000    0.000000    0.000000      0.000000       0.0         0.0             0.0    0.0    5.000000
75%    2.023080e+07        0.0   18.000000  1758.000000    0.580000    0.300000    0.500000      0.800000       0.0         0.0             0.0    0.0    6.000000
max    2.024090e+07        0.0   23.000000  3546.000000    0.650000    2.700000    2.200000      5.000000       0.0         0.0             0.0    0.0    7.000000

