Statistics for cluster_0.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW         SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF    DayOfWeek
count  2.545000e+03     2545.0  2545.000000  2545.000000  2545.000000  2545.000000  2545.000000   2545.000000    2545.0      2545.0          2545.0  2545.0  2545.000000
mean   2.016684e+07        1.0    11.455403  1018.723379     0.099953     1.657053    16.945815      7.355442       0.0         0.0             0.0     0.0     4.174067
std    2.544765e+04        0.0     7.031633   998.510607     0.081464     1.146418     4.951140      4.527146       0.0         0.0             0.0     0.0     1.937901
min    2.014010e+07        1.0     0.000000     0.000000     0.000000     0.000000     8.000000      0.700000       0.0         0.0             0.0     0.0     1.000000
25%    2.015022e+07        1.0     5.000000   158.000000     0.030000     0.700000    13.000000      3.600000       0.0         0.0             0.0     0.0     3.000000
50%    2.016011e+07        1.0    11.000000   687.000000     0.090000     1.600000    16.500000      6.600000       0.0         0.0             0.0     0.0     4.000000
75%    2.019011e+07        1.0    18.000000  1597.000000     0.140000     2.500000    19.500000      9.900000       0.0         0.0             0.0     0.0     6.000000
max    2.024011e+07        1.0    23.000000  4940.000000     0.420000     4.500000    31.500000     24.000000       0.0         0.0             0.0     0.0     7.000000

