Statistics for cluster_167.csv:
               Date  Direction        Time      TRAFFIC        PRCP        SNOW        SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code   MorF   DayOfWeek
count  6.230000e+02      623.0  623.000000   623.000000  623.000000  623.000000  101.000000    623.000000     623.0       623.0           623.0  623.0  623.000000
mean   2.021303e+07        0.0   11.577849   830.359551    0.126324    1.959551    2.611881      5.427287       0.0         0.0             0.0    0.0    3.056180
std    2.058705e+04        0.0    7.024758   642.025632    0.055247    0.856393    1.989085      2.932701       0.0         0.0             0.0    0.0    1.196883
min    2.015052e+07        0.0    0.000000    69.000000    0.000000    0.000000    0.700000      0.700000       0.0         0.0             0.0    0.0    1.000000
25%    2.021033e+07        0.0    5.000000   238.500000    0.070000    1.500000    1.000000      2.900000       0.0         0.0             0.0    0.0    2.000000
50%    2.021122e+07        0.0   12.000000   761.000000    0.150000    2.000000    1.500000      4.600000       0.0         0.0             0.0    0.0    3.000000
75%    2.022113e+07        0.0   18.000000  1208.500000    0.170000    2.400000    2.500000      7.600000       0.0         0.0             0.0    0.0    4.000000
max    2.024111e+07        0.0   23.000000  3365.000000    0.200000    4.000000    6.000000     12.000000       0.0         0.0             0.0    0.0    6.000000

