Statistics for cluster_502.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW   SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF    DayOfWeek
count  2.206000e+03     2206.0  2206.000000  2206.000000  1999.000000  1999.000000  155.0   1999.000000    2206.0      2206.0          2206.0  2206.0  2206.000000
mean   2.023242e+07        1.0    13.492747  1220.750227     0.008129     0.096048    0.0      0.742821       0.0         0.0             0.0     0.0     2.460562
std    9.398392e+03        0.0     5.431218   731.748949     0.020672     0.264952    0.0      1.038275       0.0         0.0             0.0     0.0     1.110672
min    2.021030e+07        1.0     0.000000    36.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     1.000000
25%    2.022110e+07        1.0     9.000000   585.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     2.000000
50%    2.023123e+07        1.0    13.000000  1178.000000     0.000000     0.000000    0.0      0.000000       0.0         0.0             0.0     0.0     2.000000
75%    2.024080e+07        1.0    18.000000  1730.750000     0.000000     0.000000    0.0      1.500000       0.0         0.0             0.0     0.0     2.000000
max    2.024122e+07        1.0    23.000000  3628.000000     0.090000     1.500000    0.0      4.200000       0.0         0.0             0.0     0.0     5.000000

