Statistics for cluster_3.csv:
               Date    Direction         Time      TRAFFIC         PRCP         SNOW        SNWD  SNOW_DAY_SUM     Vehicles   Driver Age  Condition_Code         MorF    DayOfWeek
count  2.265000e+03  2265.000000  2265.000000  2265.000000  2093.000000  2097.000000  880.000000   2097.000000  2265.000000  2265.000000     2265.000000  2265.000000  2265.000000
mean   2.018672e+07     0.500221    12.636645  1056.030905     0.121156     1.518646   17.492727      5.659847     1.543488    36.634879        5.353201     1.279470     3.970861
std    3.351163e+04     0.500110     5.949655   775.553814     0.160615     2.094319   11.183573      6.136704     0.682300    15.272568        1.604356     0.448838     1.986491
min    2.014010e+07     0.000000     0.000000     6.000000     0.000000     0.000000    0.000000      0.000000     0.000000     1.000000        3.000000     1.000000     1.000000
25%    2.015123e+07     0.000000     8.000000   453.000000     0.000000     0.000000   10.000000      1.300000     1.000000    25.000000        4.000000     1.000000     2.000000
50%    2.018101e+07     1.000000    13.000000   881.000000     0.060000     0.700000   16.500000      3.600000     1.000000    32.000000        4.000000     1.000000     4.000000
75%    2.022042e+07     1.000000    17.000000  1507.000000     0.180000     2.400000   25.125000      8.000000     2.000000    47.000000        7.000000     2.000000     6.000000
max    2.024123e+07     1.000000    23.000000  4190.000000     1.010000    14.800000   42.500000     37.700000     5.000000    94.000000        9.000000     2.000000     7.000000

