Statistics for cluster_5.csv:
               Date  Direction         Time      TRAFFIC         PRCP         SNOW         SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code    MorF    DayOfWeek
count  6.102000e+03     6102.0  6102.000000  6102.000000  6102.000000  6102.000000  6102.000000   6102.000000    6102.0      6102.0          6102.0  6102.0  6102.000000
mean   2.019054e+07        0.0    12.030810  1188.475910     0.029707     0.488922    15.824107      4.584612       0.0         0.0             0.0     0.0     4.271223
std    2.430924e+04        0.0     6.803662   917.672665     0.046632     0.755539     5.758221      3.485338       0.0         0.0             0.0     0.0     1.905664
min    2.014010e+07        0.0     0.000000    15.000000     0.000000     0.000000     4.000000      0.000000       0.0         0.0             0.0     0.0     1.000000
25%    2.018030e+07        0.0     6.000000   342.250000     0.000000     0.000000    11.500000      1.900000       0.0         0.0             0.0     0.0     3.000000
50%    2.019021e+07        0.0    12.000000  1056.500000     0.000000     0.100000    15.500000      3.600000       0.0         0.0             0.0     0.0     4.000000
75%    2.021012e+07        0.0    18.000000  1857.500000     0.050000     0.700000    19.000000      6.600000       0.0         0.0             0.0     0.0     6.000000
max    2.024123e+07        0.0    23.000000  3760.000000     0.210000     4.300000    38.500000     14.700000       0.0         0.0             0.0     0.0     7.000000

