Statistics for cluster_70.csv:
               Date     Direction          Time       TRAFFIC          PRCP          SNOW        SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code     MorF     DayOfWeek
count  1.173300e+04  11733.000000  11733.000000  11733.000000  11247.000000  11247.000000  858.000000  11247.000000   11733.0     11733.0         11733.0  11733.0  11733.000000
mean   2.020609e+07      0.999915     12.304526   1245.135771      0.016123      0.225962    1.314918      3.355241       0.0         0.0             0.0      0.0      4.503537
std    3.124869e+04      0.009232      6.684878   1073.436906      0.037785      0.586606    2.162896      4.378993       0.0         0.0             0.0      0.0      2.187766
min    2.014041e+07      0.000000      0.000000     17.000000      0.000000      0.000000    0.000000      0.000000       0.0         0.0             0.0      0.0      1.000000
25%    2.018022e+07      1.000000      7.000000    305.000000      0.000000      0.000000    0.000000      0.000000       0.0         0.0             0.0      0.0      3.000000
50%    2.022042e+07      1.000000     12.000000    983.000000      0.000000      0.000000    0.000000      1.800000       0.0         0.0             0.0      0.0      5.000000
75%    2.023041e+07      1.000000     18.000000   1891.000000      0.000000      0.000000    3.000000      5.000000       0.0         0.0             0.0      0.0      7.000000
max    2.024122e+07      1.000000     23.000000   6413.000000      0.210000      3.000000   10.000000     25.500000       0.0         0.0             0.0      0.0      7.000000

