Statistics for cluster_122.csv:
               Date  Direction        Time      TRAFFIC        PRCP   SNOW  SNWD  SNOW_DAY_SUM  Vehicles  Driver Age  Condition_Code   MorF  DayOfWeek
count  5.280000e+02      528.0  528.000000   528.000000  492.000000  492.0   0.0    492.000000     528.0       528.0           528.0  528.0      528.0
mean   2.015067e+07        0.0   14.049242   968.371212    0.004898    0.0   NaN      0.293293       0.0         0.0             0.0    0.0        1.0
std    2.712168e+02        0.0    5.518766   461.374120    0.016177    0.0   NaN      0.481190       0.0         0.0             0.0    0.0        0.0
min    2.015012e+07        0.0    5.000000   161.000000    0.000000    0.0   NaN      0.000000       0.0         0.0             0.0    0.0        1.0
25%    2.015050e+07        0.0    9.000000   581.000000    0.000000    0.0   NaN      0.000000       0.0         0.0             0.0    0.0        1.0
50%    2.015071e+07        0.0   14.000000   993.000000    0.000000    0.0   NaN      0.000000       0.0         0.0             0.0    0.0        1.0
75%    2.015083e+07        0.0   19.000000  1274.000000    0.000000    0.0   NaN      0.500000       0.0         0.0             0.0    0.0        1.0
max    2.015121e+07        0.0   23.000000  2149.000000    0.080000    0.0   NaN      1.600000       0.0         0.0             0.0    0.0        1.0

