,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,565.0,565.0,565.0,365.0,365.0,0.0,365.0,565.0,565.0,565.0,565.0,565.0
mean,0.0,11.212389380530974,818.2017699115045,0.0,0.0,,0.21890410958904108,0.0,0.0,0.0,0.0,4.0
std,0.0,7.038711760852926,589.2977383843815,0.0,0.0,,0.42283567081790996,0.0,0.0,0.0,0.0,0.0
min,0.0,0.0,9.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
25%,0.0,5.0,242.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
50%,0.0,11.0,727.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
75%,0.0,17.0,1296.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,4.0
max,0.0,23.0,2137.0,0.0,0.0,,1.4,0.0,0.0,0.0,0.0,4.0
