,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,2047.0,2047.0,2047.0,1854.0,1863.0,114.0,1863.0,2047.0,2047.0,2047.0,2047.0,2047.0
mean,0.0,3.6409379579872985,316.30532486565704,0.014838187702265374,0.22721417069243155,0.5596491228070175,4.540955448201824,0.0,0.0,0.0,0.0,6.072789447972643
std,0.0,3.3574219586996925,349.2335667580045,0.036033065227623284,0.6260845548233421,0.9603391084556081,6.379744610821268,0.0,0.0,0.0,0.0,1.1644276179920154
min,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25%,0.0,1.0,124.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
50%,0.0,3.0,186.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,6.0
75%,0.0,5.0,363.0,0.0,0.0,0.9,6.900000000000001,0.0,0.0,0.0,0.0,7.0
max,0.0,23.0,3041.0,0.2,3.4,3.5,25.500000000000004,0.0,0.0,0.0,0.0,7.0
