,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0,877.0
mean,0.0,8.473204104903079,766.7172177879133,0.04508551881413911,0.8131128848346635,32.657354618015965,3.7514253135689812,0.0,0.0,0.0,0.0,3.1812998859749144
std,0.0,7.126916973271827,777.8589760423172,0.04037097642545262,0.79007773866429,3.1371403562751365,2.3918790301621162,0.0,0.0,0.0,0.0,1.8075732735957886
min,0.0,0.0,71.0,0.0,0.0,23.0,0.2999999999999965,0.0,0.0,0.0,0.0,1.0
25%,0.0,3.0,160.0,0.01,0.1,30.5,2.1999999999999966,0.0,0.0,0.0,0.0,2.0
50%,0.0,6.0,420.0,0.04,0.7,33.5,3.0999999999999965,0.0,0.0,0.0,0.0,3.0
75%,0.0,14.0,1202.0,0.07,1.4,35.0,4.699999999999996,0.0,0.0,0.0,0.0,4.0
max,0.0,23.0,3481.0,0.13,3.0,42.5,14.099999999999998,0.0,0.0,0.0,0.0,7.0
