,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,558.0,558.0,558.0,558.0,558.0,273.0,558.0,558.0,558.0,558.0,558.0,558.0
mean,0.0,11.849462365591398,1160.2222222222222,0.46944444444444444,0.3517921146953405,0.3805860805860806,0.8605734767025078,0.0,0.0,0.0,0.0,4.480286738351254
std,0.0,6.921378796894961,881.1384818161349,0.10534484517690508,0.6925004882203811,0.7403474597302723,1.506045636322099,0.0,0.0,0.0,0.0,2.017554536813296
min,0.0,0.0,60.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,0.0,6.0,337.25,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
50%,0.0,12.0,1043.5,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
75%,0.0,18.0,1758.0,0.58,0.3,0.5,0.799999999999996,0.0,0.0,0.0,0.0,6.0
max,0.0,23.0,3546.0,0.65,2.7,2.2,5.0,0.0,0.0,0.0,0.0,7.0
