,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,2206.0,2206.0,2206.0,1999.0,1999.0,155.0,1999.0,2206.0,2206.0,2206.0,2206.0,2206.0
mean,1.0,13.492747053490481,1220.7502266545785,0.008129064532266132,0.096048024012006,0.0,0.7428214107053511,0.0,0.0,0.0,0.0,2.4605621033544876
std,0.0,5.431218400317996,731.7489493580226,0.02067192974433428,0.264952050915126,0.0,1.0382751364068628,0.0,0.0,0.0,0.0,1.110671571269079
min,1.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,1.0,9.0,585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50%,1.0,13.0,1178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
75%,1.0,18.0,1730.75,0.0,0.0,0.0,1.4999999999999964,0.0,0.0,0.0,0.0,2.0
max,1.0,23.0,3628.0,0.09,1.5,0.0,4.199999999999998,0.0,0.0,0.0,0.0,5.0
