,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,521.0,521.0,521.0,506.0,506.0,42.0,506.0,521.0,521.0,521.0,521.0,521.0
mean,1.0,8.621880998080615,1130.1170825335892,0.0007312252964426877,0.0001976284584980237,0.0,0.6035573122529642,0.0,0.0,0.0,0.0,1.182341650671785
std,0.0,5.156122305014966,853.8331284655792,0.0028247304752935087,0.004445542244743873,0.0,1.0244086406534425,0.0,0.0,0.0,0.0,0.9381626306306845
min,1.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,1.0,4.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,1.0,8.0,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,1.0,13.0,1867.0,0.0,0.0,0.0,0.7999999999999992,0.0,0.0,0.0,0.0,1.0
max,1.0,20.0,2951.0,0.03,0.1,0.0,3.499999999999999,0.0,0.0,0.0,0.0,6.0
