,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,1620.0,1620.0,1620.0,1431.0,1431.0,127.0,1431.0,1620.0,1620.0,1620.0,1620.0,1620.0
mean,0.0,13.621604938271606,1254.1148148148147,0.007651991614255765,0.016771488469601678,0.7401574803149606,0.7660377358490564,0.0,0.0,0.0,0.0,2.9253086419753087
std,0.0,5.086226470375014,600.7910950295942,0.023109812220264224,0.08624847936930352,1.5847116728648891,1.1754390442837765,0.0,0.0,0.0,0.0,0.3123585245452597
min,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,0.0,9.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
50%,0.0,13.0,1250.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
75%,0.0,17.0,1588.0,0.0,0.0,0.0,1.4000000000000017,0.0,0.0,0.0,0.0,3.0
max,0.0,23.0,3443.0,0.1,0.6,5.0,6.700000000000003,0.0,0.0,0.0,0.0,4.0
