,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,548.0,548.0,548.0,548.0,548.0,0.0,548.0,548.0,548.0,548.0,548.0,548.0
mean,0.9981751824817519,11.483576642335766,1165.029197080292,0.24819343065693428,3.6700729927007294,,7.482299270072992,0.0,0.0,0.0,0.0,5.810218978102189
std,0.04271788288583805,6.930162486096177,1187.599157051613,0.06666941412247404,0.9923189440906915,,4.401171171811277,0.0,0.0,0.0,0.0,1.4463360843741528
min,0.0,0.0,0.0,0.11,2.2,,3.200000000000002,0.0,0.0,0.0,0.0,2.0
25%,1.0,5.0,163.5,0.22,2.9,,4.400000000000001,0.0,0.0,0.0,0.0,5.0
50%,1.0,11.5,723.5,0.25,3.5,,6.200000000000001,0.0,0.0,0.0,0.0,6.0
75%,1.0,17.0,1927.0,0.28500000000000003,4.4,,7.999999999999991,0.0,0.0,0.0,0.0,7.0
max,1.0,23.0,9317.0,0.38,6.0,,19.5,0.0,0.0,0.0,0.0,7.0
