,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,926.0,926.0,926.0,796.0,796.0,50.0,796.0,926.0,926.0,926.0,926.0,926.0
mean,0.0,14.751619870410368,1895.0766738660907,0.004912060301507539,0.010175879396984925,0.0,0.15716080402009952,0.0,0.0,0.0,0.0,5.0993520518358535
std,0.0,4.875850314776084,872.025449390689,0.013583834464858818,0.052933747327616305,0.0,0.33636829062759366,0.0,0.0,0.0,0.0,0.29929577024688686
min,0.0,6.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
25%,0.0,11.0,1152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
50%,0.0,15.0,1952.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
75%,0.0,19.0,2682.5,0.0,0.0,0.0,0.1999999999999962,0.0,0.0,0.0,0.0,5.0
max,0.0,23.0,3471.0,0.1,0.4,0.0,1.7999999999999965,0.0,0.0,0.0,0.0,6.0
