,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,503.0,503.0,503.0,487.0,487.0,44.0,487.0,503.0,503.0,503.0,503.0,503.0
mean,0.0,15.031809145129225,1222.1948310139164,0.0006160164271047228,0.0,0.0,0.5997946611909649,0.0,0.0,0.0,0.0,1.0
std,0.0,4.911465375913859,634.9502049468706,0.0024067784385781114,0.0,0.0,1.0261899440993443,0.0,0.0,0.0,0.0,0.0
min,0.0,7.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,0.0,11.0,638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,0.0,15.0,1278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,0.0,19.0,1691.5,0.0,0.0,0.0,0.7999999999999992,0.0,0.0,0.0,0.0,1.0
max,0.0,23.0,2854.0,0.01,0.0,0.0,3.499999999999999,0.0,0.0,0.0,0.0,1.0
