,Direction,Time,TRAFFIC,PRCP,SNOW,SNWD,SNOW_DAY_SUM,Vehicles,Driver Age,Condition_Code,MorF,DayOfWeek
count,680.0,680.0,680.0,600.0,613.0,42.0,613.0,680.0,680.0,680.0,680.0,680.0
mean,0.0,11.8,1537.5220588235295,0.00039999999999999996,0.0,0.0,0.5690048939641094,0.0,0.0,0.0,0.0,1.0
std,0.0,3.6634564426932994,456.5159530820751,0.002802336254056843,0.0,0.0,0.8976831953740991,0.0,0.0,0.0,0.0,0.0
min,0.0,6.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25%,0.0,9.0,1201.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50%,0.0,12.0,1463.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
75%,0.0,15.0,1799.5,0.0,0.0,0.0,0.8999999999999965,0.0,0.0,0.0,0.0,1.0
max,0.0,19.0,3624.0,0.02,0.0,0.0,3.2999999999999963,0.0,0.0,0.0,0.0,1.0
