Date,Time,Vehicles,Driver Age,Condition_Code,MorF
2014-04-30,18,2,45,0,0
2014-05-07,1,1,32,0,1
2014-05-08,18,1,47,0,1
2014-05-09,6,2,23,0,1
2014-05-09,22,2,50,0,0
2014-05-10,16,2,18,0,0
2014-05-11,21,1,28,0,0
2014-05-12,8,1,87,5,0
2014-05-12,11,2,20,5,0
2014-05-13,12,1,69,0,0
2014-05-15,17,1,46,0,0
2014-05-17,6,1,19,0,0
2014-05-17,9,2,55,0,0
2014-05-17,16,1,62,0,0
2014-05-18,10,1,51,0,0
2014-05-19,5,2,20,0,0
2014-05-19,7,3,19,0,0
2014-05-21,18,2,52,0,0
2014-05-22,7,1,61,0,0
2014-05-22,17,2,25,3,0
2014-05-23,3,1,22,0,1
2014-05-24,11,2,40,0,1
2014-05-24,14,1,40,0,0
2014-05-24,18,2,19,0,1
2014-05-24,21,1,31,3,0
2014-05-25,14,3,64,3,0
2014-05-26,0,1,56,0,0
2014-05-27,13,1,60,0,1
2014-05-28,8,2,43,0,0
2014-05-28,15,2,33,0,0
2014-05-28,21,1,46,0,1
2014-05-30,7,3,61,0,0
2014-05-30,17,2,22,3,0
2014-05-30,20,1,58,0,0
2014-05-31,23,2,69,0,0
2014-06-01,17,1,36,0,0
2014-06-02,17,2,23,0,0
2014-06-03,15,1,66,0,0
2014-06-04,2,1,26,0,0
2014-06-04,12,1,18,0,0
2014-06-04,21,1,42,0,0
2014-06-05,15,1,24,0,0
2014-06-05,16,1,56,0,0
2014-06-08,12,3,30,0,0
2014-06-08,15,1,26,3,0
2014-06-09,21,1,35,0,1
2014-06-11,8,2,41,0,0
2014-06-12,5,1,47,0,0
2014-06-12,23,1,24,0,0
2014-06-15,10,1,28,0,0
2014-06-15,18,2,17,0,0
2014-06-17,13,2,23,0,0
2014-06-17,15,1,80,0,0
2014-06-19,4,1,45,0,0
2014-06-20,1,1,47,0,0
2014-06-20,16,4,25,0,0
2014-06-20,19,1,64,0,1
2014-06-21,10,2,32,0,1
2014-06-21,13,2,27,0,0
2014-06-22,1,1,27,0,1
2014-06-22,8,1,61,0,0
2014-06-22,20,2,32,0,1
2014-06-23,7,1,26,0,0
2014-06-23,21,1,64,0,0
2014-06-24,16,2,39,0,0
2014-06-25,5,1,60,0,0
2014-06-25,14,2,21,0,1
2014-06-27,5,1,22,0,0
2014-06-27,23,1,24,0,0
2014-06-28,23,1,49,0,0
2014-06-29,2,1,34,0,1
2014-06-30,13,1,45,0,0
2014-07-01,9,2,40,0,0
2014-07-01,16,3,34,0,1
2014-07-03,12,2,50,0,0
2014-07-03,13,2,20,0,1
2014-07-05,16,2,31,0,0
2014-07-06,3,1,29,0,1
2014-07-06,9,2,41,0,0
2014-07-07,16,2,37,0,0
2014-07-07,23,1,49,3,0
2014-07-07,23,1,20,3,1
2014-07-07,23,1,44,3,0
2014-07-08,8,2,50,0,1
2014-07-08,11,1,59,0,1
2014-07-08,22,2,51,0,0
2014-07-09,8,2,44,0,0
2014-07-09,12,2,35,0,0
2014-07-10,11,2,55,0,0
2014-07-11,16,1,46,0,0
2014-07-11,17,2,35,3,0
2014-07-11,17,3,19,0,1
2014-07-13,15,2,18,0,1
2014-07-14,7,2,40,0,0
2014-07-14,8,3,48,0,0
2014-07-14,8,2,23,0,1
2014-07-14,17,2,61,0,1
2014-07-15,21,2,29,0,0
2014-07-16,6,2,56,0,0
2014-07-16,7,2,34,0,1
2014-07-16,7,2,42,0,0
2014-07-16,14,2,70,0,1
2014-07-17,10,2,58,0,1
2014-07-18,14,2,39,0,0
2014-07-18,16,2,25,0,1
2014-07-18,19,2,23,0,1
2014-07-19,15,2,19,0,1
2014-07-19,19,1,19,0,1
2014-07-19,20,1,26,0,0
2014-07-19,20,1,34,0,0
2014-07-20,2,1,26,0,0
2014-07-21,17,1,37,0,0
2014-07-22,14,2,16,0,0
2014-07-24,6,2,24,0,1
2014-07-24,12,1,47,0,1
2014-07-25,9,2,20,0,1
2014-07-25,15,3,30,0,0
2014-07-25,21,2,22,0,0
2014-07-26,11,2,49,0,0
2014-07-26,12,1,30,3,0
2014-07-27,15,2,72,0,0
2014-07-27,19,2,63,0,1
2014-07-28,19,2,30,0,0
2014-07-30,16,5,21,3,0
2014-07-31,7,2,37,3,0
2014-07-31,15,1,64,0,0
2014-08-01,13,2,29,0,0
2014-08-02,8,2,57,0,0
2014-08-02,14,3,32,0,0
2014-08-03,20,1,40,0,1
