DATE,Direction,HOUR,TRAFFIC
2014-01-05,P,7,554
2014-01-05,S,7,2632
2014-01-05,P,8,921
2014-01-05,S,8,1839
2014-01-05,P,9,1547
2014-01-05,S,9,1362
2014-01-05,P,10,2377
2014-01-05,S,10,1220
2014-01-05,P,11,2745
2014-01-05,S,11,1291
2014-01-05,P,12,2802
2014-01-05,S,12,1180
2014-01-05,P,13,2961
2014-01-05,S,13,1165
2014-01-05,P,14,2805
2014-01-05,S,14,1236
2014-01-05,P,15,2695
2014-01-05,S,15,1084
2014-01-05,P,16,2317
2014-01-05,S,16,941
2014-01-05,P,17,1868
2014-01-05,S,17,778
2014-01-05,P,18,1722
2014-01-05,S,18,594
2014-01-05,P,19,1815
2014-01-05,S,19,464
2014-01-05,P,20,1810
2014-01-05,S,20,351
2014-01-05,P,21,1064
2014-01-05,S,21,242
2014-01-05,P,22,377
2014-01-05,S,22,228
2014-01-05,P,23,174
2014-01-05,S,23,149
2014-01-06,P,0,102
2014-01-06,S,0,112
2014-01-06,P,1,77
2014-01-06,S,1,82
2014-01-06,P,2,61
2014-01-06,S,2,91
2014-01-06,P,3,73
2014-01-06,S,3,83
2014-01-06,P,4,107
2014-01-06,S,4,154
2014-01-06,P,5,301
2014-01-06,S,5,285
2014-01-06,P,6,688
2014-01-06,S,6,526
2014-01-06,P,7,1063
2014-01-06,S,7,1289
2014-01-06,P,8,1150
2014-01-06,S,8,1959
2014-01-06,P,9,1126
2014-01-06,S,9,1899
2014-01-06,P,10,1491
2014-01-06,S,10,1565
2014-01-06,P,11,1507
2014-01-06,S,11,1312
2014-01-06,P,12,1579
2014-01-06,S,12,1102
2014-01-06,P,13,1709
2014-01-06,S,13,1016
2014-01-06,P,14,1860
2014-01-06,S,14,1027
2014-01-06,P,15,2142
2014-01-06,S,15,1110
2014-01-06,P,16,2577
2014-01-06,S,16,1057
2014-01-06,P,17,1766
2014-01-06,S,17,879
2014-01-06,P,18,1071
2014-01-06,S,18,775
2014-01-06,P,19,662
2014-01-06,S,19,551
2014-01-06,P,20,427
2014-01-06,S,20,468
2014-01-06,P,21,265
2014-01-06,S,21,348
2014-01-06,P,22,190
2014-01-06,S,22,229
2014-01-06,P,23,141
2014-01-06,S,23,171
2014-01-07,P,0,89
2014-01-07,S,0,164
2014-01-07,P,1,66
2014-01-07,S,1,97
2014-01-07,P,2,31
2014-01-07,S,2,101
2014-01-07,P,3,55
2014-01-07,S,3,84
2014-01-07,P,4,87
2014-01-07,S,4,168
2014-01-07,P,5,219
2014-01-07,S,5,305
2014-01-07,P,6,448
2014-01-07,S,6,531
2014-01-07,P,7,708
2014-01-07,S,7,1365
2014-01-07,P,8,857
2014-01-07,S,8,2089
2014-01-07,P,9,934
2014-01-07,S,9,1867
2014-01-07,P,10,1119
2014-01-07,S,10,1361
2014-01-07,P,11,1123
2014-01-07,S,11,1088
2014-01-07,P,12,1225
2014-01-07,S,12,1019
2014-01-07,P,13,1453
2014-01-07,S,13,945
2014-01-07,P,14,1804
2014-01-07,S,14,952
2014-01-07,P,15,2143
2014-01-07,S,15,1046
2014-01-07,P,16,2388
2014-01-07,S,16,976
2014-01-07,P,17,1538
2014-01-07,S,17,888
2014-01-07,P,18,958
2014-01-07,S,18,720
2014-01-07,P,19,523
2014-01-07,S,19,646
2014-01-07,P,20,367
2014-01-07,S,20,519
2014-01-07,P,21,267
2014-01-07,S,21,389
2014-01-07,P,22,135
2014-01-07,S,22,310
2014-01-07,P,23,54
2014-01-07,S,23,161
2014-01-08,P,0,62
