COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
000106,20250122,P,62,80,48,45,44,190,387,474,622,748,740,726,852,932,1379,992,954,763,542,336,276,181,138,124,01/22/2025
000106,20250122,S,112,81,63,84,114,178,467,807,1018,725,1096,581,763,1164,1029,949,899,672,559,476,397,359,295,212,01/22/2025
000106,20250123,P,69,45,39,40,72,142,266,486,615,693,836,848,812,1195,1104,1439,1282,948,625,413,327,209,160,114,01/23/2025
000106,20250123,S,127,87,73,61,118,256,474,1075,1273,1301,1021,1237,1043,1033,1072,1826,1256,1434,1140,997,872,612,501,312,01/23/2025
000106,20250124,P,67,59,63,84,89,164,299,445,673,825,973,1039,1366,1700,2141,2141,1786,1346,711,363,332,374,292,151,01/24/2025
000106,20250124,S,191,121,98,77,118,241,682,1728,1901,1514,1725,2036,1909,1743,1926,1988,2042,2044,1828,1349,1805,1316,505,279,01/24/2025
000106,20250125,P,78,63,53,54,65,97,264,415,568,1005,1008,1155,1298,1572,1895,2083,1880,1605,1057,701,526,311,182,122,01/25/2025
000106,20250125,S,212,82,65,57,59,151,918,1498,758,1358,1582,1835,1501,1238,1320,1326,1194,888,664,477,410,288,240,142,01/25/2025
000106,20250126,P,70,70,61,47,132,188,371,641,1056,2164,2732,1978,2430,1643,1911,1802,1557,1782,1913,2426,1266,472,203,90,01/26/2025
000106,20250126,S,92,58,47,33,52,175,981,1673,1795,1677,1343,1448,1544,1397,1401,1292,1052,754,579,398,363,288,180,123,01/26/2025
000106,20250127,P,68,48,58,67,107,256,639,886,912,1071,1251,1136,1260,1517,1568,2,2265,1148,795,529,328,216,126,83,01/27/2025
000106,20250127,S,121,74,68,73,130,248,484,1011,1122,1689,1522,1288,1066,943,952,985,947,630,450,376,325,250,203,116,01/27/2025
000106,20250128,P,67,46,52,51,80,147,344,475,690,831,974,912,957,1228,1560,1487,1354,998,596,431,300,246,166,134,01/28/2025
000106,20250128,S,77,89,65,69,124,235,458,1004,1306,1330,1349,971,832,922,845,814,823,630,508,434,344,276,183,116,01/28/2025
000106,20250129,P,65,57,54,47,76,144,343,481,731,874,917,942,1041,1221,1448,1607,1371,1017,659,418,286,226,140,98,01/29/2025
000106,20250129,S,112,71,63,70,115,266,467,1061,1047,1363,1537,1172,878,1081,984,994,1043,841,651,519,487,420,263,180,01/29/2025
000106,20250130,P,68,59,56,66,91,149,278,471,639,774,812,844,980,1183,1477,1502,1504,1076,686,459,352,232,171,110,01/30/2025
000106,20250130,S,109,76,79,78,117,224,483,1153,1541,1377,1353,1077,973,846,1430,1372,1383,1184,1131,917,703,584,417,263,01/30/2025
000106,20250131,P,77,55,66,59,103,163,333,495,739,897,1065,1101,1282,1557,1872,1965,1895,1316,919,568,421,260,192,148,01/31/2025
000106,20250131,S,171,136,83,68,109,249,676,1705,1889,1809,1483,1566,1629,1453,1819,1966,2296,2211,2072,1914,1245,822,542,319,01/31/2025
