System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,287.719,1/1/2023,15:26:00,39.74513,-104.74082,Sideswipe Same Direction,3.0,Clear,,
Interstate Highway,070A,228.08,1/2/2023,10:59:00,39.71868,-105.69612,Sideswipe Same Direction,2.0,Clear,24.0,F
Interstate Highway,070A,296.200,1/2/2023,17:58:00,39.73978,-104.58475,Guardrail Face,1.0,Snow,46.0,M
Interstate Highway,070A,305.000,1/2/2023,18:50:00,39.73833,-104.42163,Bridge Structure (Not Overhead),1.0,Blowing Snow,33.0,M
Interstate Highway,070A,307.500,1/2/2023,20:43:00,39.73298,-104.37609,Fence,1.0,Snow,39.0,M
Interstate Highway,070A,308.15,1/3/2023,07:20:00,39.73349,-104.36379,Guardrail Face,1.0,Snow,,
Interstate Highway,070A,308.000,1/3/2023,07:40:00,39.73321,-104.36649,Rear-End,2.0,Cloudy,30.0,M
Interstate Highway,070A,304.650,1/3/2023,18:45:00,39.73845,-104.4266,Overturning/Rollover,1.0,Clear,19.0,M
Interstate Highway,070A,288.300,1/4/2023,06:00:00,39.74087,-104.73073,Sign,1.0,Clear,19.0,M
Interstate Highway,070A,252.70,1/4/2023,08:12:00,39.71391,-105.30944,Overturning/Rollover,1.0,Clear,26.0,F
Interstate Highway,070A,261.15,1/4/2023,16:28:00,39.72656,-105.17783,Rear-End,2.0,Clear,38.0,M
Interstate Highway,070A,229.50,1/5/2023,16:19:00,39.73637,-105.68788,Sideswipe Same Direction,2.0,Clear,40.0,F
Interstate Highway,070A,261.03,1/6/2023,13:10:00,39.7253,-105.18332,Guardrail Face,1.0,Clear,30.0,F
Interstate Highway,070A,288.920,1/6/2023,17:30:00,39.74036,-104.72094,Rear-End,5.0,Clear,,
Interstate Highway,070A,261.680,1/7/2023,17:07:00,39.73147,-105.16909,Rear-End,2.0,Clear,18.0,M
Interstate Highway,070A,260.00,1/7/2023,18:58:00,39.714325,-105.192405,Rear-End,2.0,Clear,23.0,F
Interstate Highway,070A,260.888,1/7/2023,18:59:00,39.72384,-105.1814,Rear-End,2.0,Clear,36.0,M
Interstate Highway,070A,245.41,1/8/2023,11:10:00,39.73252,-105.42737,Rear-End,3.0,Clear,30.0,M
Interstate Highway,070A,288.262,1/8/2023,23:31:00,39.74075,-104.73188,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,287.839,1/9/2023,07:30:00,39.74519,-104.74092,Embankment,1.0,Clear,73.0,F
Interstate Highway,070A,247.18,1/11/2023,07:53:00,39.71746,-105.39886,Rear-End,2.0,Cloudy,74.0,M
Interstate Highway,070A,253.04,1/11/2023,08:15:00,39.71254,-105.30344,Rear-End,2.0,Snow,27.0,M
Interstate Highway,070A,307.586,1/11/2023,09:45:00,39.73276,-104.37411,Bridge Structure (Not Overhead),1.0,Snow,19.0,F
Interstate Highway,070A,307.053,1/11/2023,10:15:00,39.73377,-104.38355,Sideswipe Same Direction,2.0,Snow,23.0,M
Interstate Highway,070A,244.67,1/13/2023,07:52:00,39.74231,-105.43306,Concrete Highway Barrier,2.0,Clear,30.0,M
Interstate Highway,070A,245.00,1/13/2023,13:00:00,39.7373,-105.4307,Sideswipe Same Direction,2.0,Clear,56.0,M
Interstate Highway,070A,261.03,1/13/2023,14:10:00,39.725314,-105.179109,Rear-End,3.0,Clear,53.0,M
Interstate Highway,070A,242.00,1/14/2023,17:22:00,39.743863,-105.481063,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,244.10,1/15/2023,06:16:00,39.74443,-105.44212,Rear-End,2.0,Clear,26.0,F
Interstate Highway,070A,245.82,1/15/2023,22:36:00,39.7277,-105.4227,Concrete Highway Barrier,1.0,Wind,39.0,M
Interstate Highway,070A,245.52,1/16/2023,06:52:00,39.73105,-105.42648,Rear-End,3.0,Wind,60.0,M
Interstate Highway,070A,260.150,1/17/2023,15:01:00,39.71631,-105.19147,Overturning/Rollover,1.0,Cloudy,41.0,M
Interstate Highway,070A,292.846,1/17/2023,19:31:00,39.73919,-104.64779,Sideswipe Same Direction,2.0,Blowing Snow,22.0,M
Interstate Highway,070A,292.000,1/18/2023,11:30:00,39.74037,-104.66328,Cable Rail,1.0,Snow,20.0,M
Interstate Highway,070A,309.263,1/18/2023,12:25:00,39.73439,-104.34332,Sideswipe Same Direction,2.0,Blowing Snow,38.0,M
Interstate Highway,070A,288.397,1/18/2023,13:00:00,39.74013,-104.72876,Guardrail Face,1.0,Snow,61.0,M
Interstate Highway,070A,313.680,1/18/2023,13:00:00,39.72534,-104.26124,Rear-End,2.0,Snow,42.0,M
Interstate Highway,070A,312.945,1/18/2023,13:18:00,39.7289,-104.27387,Sideswipe Same Direction,2.0,Blowing Snow,43.0,M
Interstate Highway,070A,313.000,1/18/2023,13:18:00,39.7289,-104.27387,Sideswipe Same Direction,3.0,Snow,56.0,M
