SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,288.13,1/1/2018,540.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.741506,-104.734692,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,230.0,1/3/2018,1700.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.742843,-105.683023,22,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,263.4,1/5/2018,1510.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.748952,-105.149442,18,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,248.0,1/6/2018,1715.0,PDO,ON,NON-INTERSECTION,1,STRAIGHT ON-GRADE,DRY,DARK-UNLIGHTED,39.715445,-105.383667,53,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/7/2018,1035.0,PDO,ON,AT INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,19,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/7/2018,1440.0,PDO,ON,AT INTERSECTION,2,CURVE ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,44,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.9,1/10/2018,853.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.726678,-105.422066,20,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,288.97,1/10/2018,1323.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740127,-104.71902,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.95,1/10/2018,1634.0,INJ,ON,NON-INTERSECTION,4,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.743616,-105.15438,72,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.11,1/11/2018,1754.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.725927,-105.178164,18,M,NO IMPAIRMENT SUSPECTED
