System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,262.99,1/3/2021,22:36:00,39.744019,-105.153877,Guardrail Face,1.0,Clear,15.0,M
Interstate Highway,070A,253.97,1/4/2021,15:15:00,39.709036,-105.286693,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,245.00,1/4/2021,20:09:00,39.737692,-105.431195,Concrete Highway Barrier,1.0,Clear,17.0,M
Interstate Highway,070A,311.10,1/5/2021,22:33:00,39.732119,-104.307153,Overturning/Rollover,1.0,Clear,24.0,F
Interstate Highway,070A,238.00,1/6/2021,08:07:00,39.749651,-105.54888,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,292.00,1/7/2021,20:57:00,39.7402,-104.663214,Embankment,1.0,Clear,39.0,M
Interstate Highway,070A,244.50,1/8/2021,05:45:00,39.744354,-105.434951,Sideswipe Same Direction,2.0,Clear,32.0,M
Interstate Highway,070A,311.00,1/8/2021,13:47:00,39.732428,-104.308942,Fence,1.0,Clear,,
Interstate Highway,070A,247.00,1/8/2021,16:30:00,39.719182,-105.402122,Sideswipe Same Direction,2.0,Clear,83.0,F
Interstate Highway,070A,302.20,1/9/2021,11:27:00,39.738196,-104.47362,Overturning/Rollover,1.0,Sleet or Hail,29.0,M
Interstate Highway,070A,290.00,1/9/2021,19:31:00,39.740092,-104.699352,Concrete Highway Barrier,1.0,Sleet or Hail,28.0,M
Interstate Highway,070A,247.30,1/10/2021,09:17:00,39.716195,-105.397067,Rear-End,2.0,Clear,26.0,F
Interstate Highway,070A,245.50,1/10/2021,12:45:00,39.731254,-105.426701,Rear-End,2.0,Clear,31.0,F
Interstate Highway,070A,240.00,1/10/2021,19:35:00,39.74138,-105.51172,Sideswipe Same Direction,2.0,Clear,0.0,
Interstate Highway,070A,153.80,1/13/2021,17:37:00,39.710538,-106.713253,Rear-End,3.0,Clear,28.0,M
Interstate Highway,070A,254.00,1/15/2021,01:57:00,39.709008,-105.286147,Culvert or Headwall,1.0,Wind,42.0,M
Interstate Highway,070A,290.00,1/15/2021,15:20:00,39.740092,-104.699352,Parked Motor Vehicle,2.0,Clear,65.0,F
Interstate Highway,070A,303.00,1/16/2021,20:01:00,39.738167,-104.458916,Guardrail Face,1.0,Clear,24.0,M
Interstate Highway,070A,228.00,1/17/2021,13:40:00,39.716698,-105.696332,Rear-End,2.0,Clear,52.0,M
Interstate Highway,070A,228.00,1/17/2021,14:15:00,39.716698,-105.696332,Rear-End,2.0,Clear,21.0,M
Interstate Highway,070A,260.87,1/17/2021,14:53:00,39.72364,-105.181688,Rear-End,2.0,Clear,21.0,M
Interstate Highway,070A,230.02,1/18/2021,12:26:00,39.743043,-105.682758,Rear-End,2.0,Clear,19.0,F
Interstate Highway,070A,242.21,1/18/2021,19:30:00,39.74446,-105.47648,Rear-End,2.0,Clear,28.0,M
Interstate Highway,070A,245.50,1/18/2021,22:45:00,39.731254,-105.426701,Guardrail Face,1.0,Sleet or Hail,37.0,M
Interstate Highway,070A,262.57,1/20/2021,08:22:00,39.73922,-105.15875,Rear-End,2.0,Clear,22.0,M
Interstate Highway,070A,304.80,1/21/2021,06:43:00,39.738091,-104.424422,Sideswipe Same Direction,2.0,Clear,60.0,M
Interstate Highway,070A,289.16,1/21/2021,15:30:00,39.740845,-104.71598,Rear-End,2.0,Clear,32.0,M
Interstate Highway,070A,246.10,1/22/2021,16:54:00,39.724683,-105.418762,Rear-End,2.0,Clear,,
Interstate Highway,070A,245.60,1/24/2021,06:50:00,39.729989,-105.425775,Rear-End,2.0,Clear,44.0,M
Interstate Highway,070A,227.72,1/24/2021,11:20:00,39.712653,-105.696968,Rear-End,2.0,Clear,57.0,F
Interstate Highway,070A,300.00,1/26/2021,02:43:00,39.738404,-104.514771,Sideswipe Same Direction,2.0,Sleet or Hail,60.0,F
Interstate Highway,070A,287.98,1/26/2021,12:05:00,39.742875,-104.737022,Cable Rail,1.0,Sleet or Hail,63.0,M
Interstate Highway,070A,287.92,1/26/2021,12:12:00,39.74338,-104.73788,Parked Motor Vehicle,2.0,Sleet or Hail,36.0,M
Interstate Highway,070A,312.00,1/26/2021,13:06:00,39.729343,-104.291091,Guardrail Face,1.0,Sleet or Hail,17.0,F
Interstate Highway,070A,289.254,1/26/2021,22:00:00,39.74058,-104.714352,Overturning/Rollover,1.0,Sleet or Hail,69.0,M
Interstate Highway,070A,154.70,1/28/2021,08:55:00,39.711597,-106.697881,Rear-End,2.0,Clear,37.0,M
Interstate Highway,070A,238.70,1/29/2021,09:00:00,39.745004,-105.538117,Rear-End,3.0,Clear,21.0,F
Interstate Highway,070A,242.00,1/31/2021,15:20:00,39.74486,-105.47406,Rear-End,2.0,Clear,24.0,M
Interstate Highway,070A,241.02,2/1/2021,08:30:00,39.741,-105.51808,Guardrail End,1.0,Clear,27.0,F
Interstate Highway,070A,242.99,2/1/2021,21:30:00,39.74658,-105.46451,Sideswipe Same Direction,2.0,Clear,39.0,M
Interstate Highway,070A,242.00,2/2/2021,02:56:00,39.74451,-105.48542,Guardrail Face,1.0,Clear,29.0,M
Interstate Highway,070A,291.222,2/2/2021,10:00:00,39.73956,-104.67828,Broadside,2.0,Clear,56.0,M
Interstate Highway,070A,248.94,2/2/2021,14:46:00,39.713941,-105.368658,Overturning/Rollover,1.0,Clear,58.0,F
Interstate Highway,070A,294.90,2/4/2021,07:00:00,39.739956,-104.610401,Embankment,2.0,Clear,31.0,M
Interstate Highway,070A,289.00,2/6/2021,03:30:00,39.740125,-104.719879,Rear-End,2.0,Clear,18.0,M
Interstate Highway,070A,259.50,2/6/2021,06:25:00,39.708506,-105.196869,Sideswipe Same Direction,2.0,Clear,30.0,M
Interstate Highway,070A,243.00,2/8/2021,,39.74491,-105.46688,Sideswipe Same Direction,2.0,Clear,32.0,F
Frontage Road,070A,291.22,2/9/2021,10:05:00,39.73956,-104.67828,Broadside,2.0,Clear,21.0,M
Interstate Highway,070A,260.20,2/11/2021,07:25:00,39.716817,-105.190486,Guardrail Face,1.0,Clear,48.0,F
Interstate Highway,070A,241.03,2/11/2021,14:00:00,39.74162,-105.49581,Light Pole/Utility Pole,1.0,Clear,32.0,M
Interstate Highway,070A,247.00,2/11/2021,18:30:00,39.719182,-105.402122,Guardrail Face,1.0,Clear,16.0,F
