System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,228.150,1/1/2024,10:37:00,39.71962,-105.69597,Rear-End,4.0,Clear,37.0,M
Interstate Highway,070A,261.030,1/1/2024,12:31:00,39.72551,-105.18292,Guardrail Face,1.0,Clear,40.0,F
Interstate Highway,070A,306.000,1/2/2024,07:50:00,39.73544,-104.3926,Sideswipe Same Direction,2.0,Clear,34.0,F
Interstate Highway,070A,262.005,1/3/2024,15:00:00,39.73493,-105.16583,Guardrail Face,2.0,Clear,43.0,F
Interstate Highway,070A,260.000,1/3/2024,20:26:00,39.72049,-105.18703,Rear-End,2.0,Clear,32.0,M
Interstate Highway,070A,261.235,1/4/2024,06:15:00,39.72707,-105.17627,Sideswipe Same Direction,3.0,Cloudy,21.0,M
Interstate Highway,070A,241.000,1/5/2024,16:43:00,39.74329,-105.49107,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,249.000,1/5/2024,21:00:00,39.71328,-105.36618,Sideswipe Same Direction,2.0,Clear,46.0,M
Interstate Highway,070A,244.432,1/6/2024,12:31:00,39.74484,-105.4361,Barricade,1.0,Clear,23.0,M
Interstate Highway,070A,260.852,1/7/2024,17:28:00,39.72376,-105.18157,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,289.162,1/7/2024,17:54:00,39.73932,-104.71609,Broadside,2.0,Clear,,
Interstate Highway,070A,307.100,1/8/2024,07:05:00,39.73355,-104.37994,Sideswipe Same Direction,2.0,Blowing Snow,26.0,M
Interstate Highway,070A,291.000,1/8/2024,19:15:00,39.73998,-104.67453,Sideswipe Same Direction,2.0,Clear,,U
Interstate Highway,070A,252.900,1/9/2024,02:47:00,39.71405,-105.3123,Overturning/Rollover,1.0,Blowing Snow,24.0,M
Interstate Highway,070A,253.501,1/9/2024,13:10:00,39.71021,-105.2952,Rear-End,5.0,Wind,39.0,F
Interstate Highway,070A,246.224,1/10/2024,09:00:00,39.72348,-105.41644,Concrete Highway Barrier,1.0,Clear,25.0,F
Interstate Highway,070A,244.313,1/10/2024,09:23:00,39.74563,-105.43819,Sideswipe Same Direction,2.0,Clear,48.0,F
Interstate Highway,070A,245.070,1/10/2024,12:25:00,39.73684,-105.43047,Crash Cushion/Traffic Barrel,1.0,Clear,54.0,M
Interstate Highway,070A,228.947,1/13/2024,10:05:00,39.72989,-105.69267,Rear-End,2.0,Snow,22.0,M
Interstate Highway,070A,244.324,1/14/2024,08:10:00,39.7456,-105.43799,Rear-End,2.0,Snow,32.0,F
Interstate Highway,070A,244.091,1/14/2024,09:45:00,39.74439,-105.44226,Large Rocks or Boulder,1.0,Snow,31.0,M
Interstate Highway,070A,293.327,1/15/2024,04:45:00,39.73859,-104.64285,Guardrail Face,2.0,Blowing Snow,33.0,M
Interstate Highway,070A,302.378,1/15/2024,11:40:00,39.7386,-104.47025,Guardrail End,1.0,Snow,34.0,M
Interstate Highway,070A,293.788,1/15/2024,11:50:00,39.73941,-104.63101,Parked Motor Vehicle,2.0,Snow,,U
Interstate Highway,070A,315.389,1/15/2024,14:30:00,39.71806,-104.23072,Guardrail Face,1.0,Snow,56.0,F
Interstate Highway,070A,305.005,1/15/2024,14:35:00,39.7385,-104.42141,Embankment,1.0,Clear,49.0,M
Interstate Highway,070A,249.406,1/15/2024,19:30:00,39.71229,-105.36061,Overturning/Rollover,1.0,Clear,24.0,M
Interstate Highway,070A,293.850,1/15/2024,23:49:00,39.73958,-104.62992,Rear-End,2.0,Clear,21.0,M
Interstate Highway,070A,242.664,1/16/2024,07:05:00,39.74521,-105.46706,Sideswipe Same Direction,2.0,Clear,23.0,F
Interstate Highway,070A,272.546,1/16/2024,07:50:00,39.71605,-105.39168,Broadside,2.0,Wind,42.0,M
Interstate Highway,070A,245.756,1/19/2024,16:21:00,39.72849,-105.42348,Rear-End,2.0,Clear,21.0,M
Frontage Road,070A,242.980,1/20/2024,14:51:00,39.74686,-105.46078,Overturning/Rollover,1.0,Clear,25.0,F
Interstate Highway,070A,261.000,1/21/2024,15:46:00,39.72493,-105.17974,Rear-End,2.0,Clear,29.0,M
Interstate Highway,070A,249.079,1/21/2024,21:00:00,39.71305,-105.36727,Sideswipe Same Direction,2.0,Clear,23.0,M
Frontage Road,070A,288.994,1/26/2024,00:00:00,39.73789,-104.71816,Embankment,1.0,Snow,,
Interstate Highway,070A,308.248,1/26/2024,06:50:00,39.73343,-104.36193,Fence,1.0,Cloudy,54.0,M
Interstate Highway,070A,314.000,1/26/2024,07:20:00,39.7155,-104.22045,Guardrail Face,1.0,Cloudy,42.0,M
Interstate Highway,070A,297.841,1/26/2024,18:30:00,39.73923,-104.55513,Vehicle Debris or Cargo,2.0,Cloudy,30.0,M
Interstate Highway,070A,246.024,1/27/2024,05:58:00,39.72554,-105.4201,Sideswipe Same Direction,3.0,Clear,21.0,M
Interstate Highway,070A,249.993,1/27/2024,16:23:00,39.71018,-105.35016,Sideswipe Same Direction,2.0,Clear,,U
Interstate Highway,070A,237.998,1/28/2024,21:08:00,39.74962,-105.54895,Sideswipe Same Direction,2.0,Clear,50.0,M
Interstate Highway,070A,253.995,1/29/2024,21:19:00,39.70893,-105.28623,Barricade,1.0,Clear,41.0,F
Interstate Highway,070A,261.791,1/30/2024,17:07:00,39.73271,-105.16817,Rear-End,2.0,Clear,21.0,M
Interstate Highway,070A,242.739,1/31/2024,00:09:00,39.74607,-105.46578,Guardrail Face,1.0,,22.0,M
Interstate Highway,070A,261.000,1/31/2024,10:00:00,39.71883,-105.18858,Sideswipe Same Direction,2.0,Clear,,U
Interstate Highway,070A,260.29,1/31/2024,10:00:00,39.71883,-105.18858,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,288.278,2/1/2024,20:15:00,39.74061,-104.73158,Tree,1.0,Clear,28.0,F
Interstate Highway,070A,239.820,2/3/2024,02:32:00,39.74083,-105.51685,Concrete Highway Barrier,1.0,Snow,33.0,M
Interstate Highway,070A,298.359,2/3/2024,04:10:00,39.73908,-104.5455,Other Non-Fixed Object Describe in Narrative),1.0,Rain,23.0,M
Interstate Highway,070A,298.359,2/3/2024,04:14:00,39.73908,-104.5455,Rear-End,2.0,Rain,23.0,M
Interstate Highway,070A,298.359,2/3/2024,04:17:00,39.73908,-104.5455,Rear-End,3.0,Rain,23.0,M
Interstate Highway,070A,305.324,2/3/2024,08:40:00,39.73779,-104.41603,Tree,1.0,Snow,37.0,M
Interstate Highway,070A,297.784,2/3/2024,08:50:00,39.73918,-104.55615,Overturning/Rollover,1.0,Snow,51.0,M
Interstate Highway,070A,288.294,2/3/2024,08:57:00,39.74024,-104.73124,Delineator/Milepost,1.0,Snow,33.0,M
Interstate Highway,070A,293.000,2/3/2024,09:00:00,39.73844,-104.63434,Guardrail Face,1.0,Snow,22.0,F
Interstate Highway,070A,293.229,2/3/2024,09:28:00,39.73818,-104.64082,Guardrail Face,1.0,Snow,28.0,M
Interstate Highway,070A,291.222,2/3/2024,09:30:00,39.74019,-104.67833,Cable Rail,2.0,Snow,20.0,F
Interstate Highway,070A,304.269,2/3/2024,09:40:00,39.73808,-104.43671,Sideswipe Same Direction,2.0,Snow,36.0,M
Interstate Highway,070A,316.053,2/3/2024,10:11:00,39.71553,-104.21956,Delineator/Milepost,1.0,Snow,31.0,M
Interstate Highway,070A,290.392,2/3/2024,10:40:00,39.74025,-104.69178,Cable Rail,1.0,Snow,28.0,M
Interstate Highway,070A,290.585,2/3/2024,11:15:00,39.74024,-104.68823,Cable Rail,1.0,Snow,26.0,M
Interstate Highway,070A,290.280,2/3/2024,11:32:00,39.74022,-104.69414,Rear-End,3.0,Snow,45.0,M
Interstate Highway,070A,253.963,2/3/2024,12:07:00,39.70905,-105.2868,Rear-End,2.0,Snow,31.0,F
Interstate Highway,070A,253.964,2/3/2024,12:30:00,39.70905,-105.2868,Sideswipe Same Direction,2.0,Snow,29.0,M
Interstate Highway,070A,291.073,2/3/2024,12:32:00,39.74021,-104.68101,Cable Rail,1.0,Snow,24.0,M
Interstate Highway,070A,288.624,2/3/2024,13:35:00,39.74009,-104.72503,Guardrail Face,1.0,Snow,,U
Interstate Highway,070A,249.000,2/3/2024,14:00:00,39.71281,-105.35579,Overturning/Rollover,1.0,Snow,48.0,F
Interstate Highway,070A,253.028,2/4/2024,11:26:00,39.71242,-105.30371,Rear-End,3.0,Clear,20.0,M
Interstate Highway,070A,261.000,2/5/2024,07:08:00,39.73269,-105.1686,Sideswipe Same Direction,2.0,Clear,23.0,F
