System Code,Rd_Number,Rd_Section,Crash Date,Crash Time,Latitude,Longitude,Crash Type,Total Vehicles,Weather Condition,TU-1 Age,TU-1 Sex 
Interstate Highway,070A,262.571,2/3/2022,10:46:00,39.74036,-105.15986,Broadside,3.0,Clear,26.0,M
Interstate Highway,070A,306.000,2/3/2022,16:45:00,39.7368,-104.40273,Delineator/Milepost,1.0,Clear,24.0,F
Interstate Highway,070A,287.39,2/4/2022,07:08:00,39.748065,-104.745493,Cable Rail,1.0,Clear,51.0,M
Interstate Highway,070A,244.56,2/4/2022,08:54:00,39.74601,-105.43839,Rear-End,2.0,Clear,70.0,M
Interstate Highway,070A,245.50,2/4/2022,14:35:00,39.72861,-105.42352,Rear-End,2.0,Clear,36.0,M
Interstate Highway,070A,260.68,2/5/2022,16:12:00,39.72193,-105.18434,Rear-End,3.0,Clear,27.0,F
Interstate Highway,070A,259.80,2/5/2022,16:55:00,39.71574,-105.19329,Electrical/Utility Box,1.0,Clear,67.0,F
Frontage Road,070A,176.29,2/6/2022,05:49:00,39.741247,-105.496,Wall or Building,1.0,Snow,64.0,F
Interstate Highway,070A,154.200,2/7/2022,00:16:00,39.71133,-106.70609,Other Non-Fixed Object Describe in Narrative),1.0,Clear,30.0,F
Interstate Highway,070A,293.000,2/7/2022,07:13:00,39.73862,-104.64494,Delineator/Milepost,1.0,Clear,17.0,M
Interstate Highway,070A,299.00,2/8/2022,05:05:00,39.73929,-104.54508,Other Non-Fixed Object Describe in Narrative),2.0,Clear,56.0,F
Interstate Highway,070A,252.775,2/8/2022,08:00:00,39.71366,-105.30812,Guardrail Face,1.0,Wind,18.0,F
Interstate Highway,070A,252.775,2/8/2022,08:12:00,39.71359,-105.30812,Guardrail Face,1.0,Blowing Snow,19.0,F
Interstate Highway,070A,238.92,2/10/2022,15:50:00,39.7441,-105.53461,Parked Motor Vehicle,2.0,Clear,26.0,M
Interstate Highway,070A,242.500,2/10/2022,16:30:00,39.7452256,-105.4704635,Rear-End,2.0,Clear,50.0,M
Interstate Highway,070A,245.00,2/11/2022,08:05:00,39.7376,-105.43094,Rear-End,2.0,Cloudy,49.0,F
Interstate Highway,070A,244.79,2/11/2022,09:30:00,39.74055,-105.43269,Rear-End,2.0,Wind,60.0,M
Interstate Highway,070A,227.72,2/12/2022,16:17:00,39.71273,-105.69715,Sideswipe Same Direction,2.0,Clear,,
Interstate Highway,070A,242.35,2/13/2022,10:20:00,39.74492,-105.47346,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,242.51,2/13/2022,18:37:00,39.74538,-105.47027,Overturning/Rollover,1.0,Clear,33.0,M
Interstate Highway,070A,253.28,2/14/2022,07:25:00,39.71121,-105.2991,Rear-End,2.0,Clear,28.0,F
Interstate Highway,070A,279.22,2/14/2022,07:49:00,39.71035,-105.29694,Rear-End,2.0,Clear,25.0,M
Interstate Highway,070A,153.700,2/14/2022,09:50:00,39.71007,-106.71488,Embankment,1.0,Clear,22.0,F
Interstate Highway,070A,259.00,2/14/2022,13:30:00,39.71221,-105.35911,Rear-End,4.0,Clear,24.0,M
Interstate Highway,070A,245.00,2/15/2022,09:28:00,39.73773,-105.4311,Sideswipe Same Direction,2.0,Clear,50.0,M
Interstate Highway,070A,299.15,2/16/2022,16:41:00,39.73868,-104.53303,Rear-End,3.0,Snow,21.0,M
Interstate Highway,070A,261.03,2/19/2022,16:55:00,39.72311,-105.18237,Rear-End,3.0,Clear,84.0,F
Interstate Highway,070A,242.400,2/20/2022,16:22:00,39.74503,-105.47265,Rear-End,4.0,Clear,20.0,M
Interstate Highway,070A,259.80,2/21/2022,20:17:00,39.71209,-105.19363,Concrete Highway Barrier,1.0,Snow,33.0,F
Interstate Highway,070A,288.33,2/22/2022,17:53:00,39.74296,-104.73646,Overturning/Rollover,1.0,Blowing Snow,18.0,F
Interstate Highway,070A,240.11,2/22/2022,19:08:00,39.74136,-105.51189,Concrete Highway Barrier,1.0,Freezing Rain or Freezing Drizzle,34.0,F
Interstate Highway,070A,244.700,2/22/2022,20:42:00,39.74193,-105.43314,Concrete Highway Barrier,1.0,Snow,53.0,F
Interstate Highway,070A,289.300,2/24/2022,04:50:00,39.74041,-104.71342,Sign,1.0,Clear,19.0,M
Interstate Highway,070A,243.00,2/25/2022,19:25:00,39.74358,-105.45075,Guardrail Face,2.0,Clear,,
Interstate Highway,070A,260.00,2/27/2022,11:00:00,39.714325,-105.192405,Sideswipe Same Direction,2.0,Clear,18.0,F
Interstate Highway,070A,262.00,2/27/2022,19:10:00,39.73271,-105.16807,Sideswipe Same Direction,3.0,Cloudy,43.0,M
Interstate Highway,070A,240.00,2/28/2022,00:47:00,39.741,-105.51382,Concrete Highway Barrier,1.0,Clear,27.0,F
Interstate Highway,070A,244.300,3/4/2022,22:11:00,39.74564,-105.43888,Concrete Highway Barrier,1.0,Cloudy,19.0,M
Interstate Highway,070A,242.85,3/6/2022,05:55:00,39.74686,-105.463,Guardrail Face,2.0,Snow,22.0,F
Interstate Highway,070A,252.349,3/6/2022,09:33:00,39.71255,-105.31506,Delineator/Milepost,2.0,Snow,41.0,F
