SYSTEM,RTE,SEC,MP,DATE,TIME,SEVERITY,LOCATION,ROAD_DESC,VEHICLES,CONTOUR,CONDITION,LIGHTING,LATITUDE,LONGITUDE,AGE_1,SEX_1,DRIVER_1
INTERSTATE,70,A,244.0,1/16/2017,600.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,ICY,DARK-LIGHTED,39.743474,-105.443466,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.57,1/17/2017,1624.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.739801,-105.159144,57,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,288.92,1/17/2017,1750.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-LEVEL,DRY,DARK-UNLIGHTED,39.740125,-104.719842,42,F,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,240.5,1/17/2017,1918.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,ICY,DARK-UNLIGHTED,39.740321,-105.504953,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,261.63,1/18/2017,1525.0,PDO,ON,RAMP,2,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.73085,-105.170421,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.87,1/18/2017,1730.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.74281,-105.155386,56,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.0,1/19/2017,1010.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.741215,-105.495956,0,,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.6,1/19/2017,1703.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.740089,-105.158781,45,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,287.65,1/21/2017,546.0,PDO,OFF LEFT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-UNLIGHTED,39.745522,-104.741452,28,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,241.5,1/21/2017,1040.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.744411,-105.488957,32,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.0,1/24/2017,1630.0,INJ,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.737695,-105.431191,30,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,243.1,1/24/2017,1940.0,PDO,OFF LEFT,NON-INTERSECTION,1,CURVE ON-LEVEL,WET,DARK-UNLIGHTED,39.745703,-105.458821,28,M,ALCOHOL/DRUGS
INTERSTATE,70,A,260.8,1/27/2017,1729.0,INJ,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAWN OR DUSK,39.723014,-105.182653,36,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,260.15,1/27/2017,1845.0,PDO,OFF RIGHT,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DARK-LIGHTED,39.716247,-105.190931,35,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,239.5,1/28/2017,1401.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.741475,-105.522983,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.11,1/29/2017,1301.0,INJ,ON,NON-INTERSECTION,1,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.73542,-105.164663,18,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,254.2,2/1/2017,35.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-GRADE,DRY,DARK-LIGHTED,39.708504,-105.282568,52,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,252.0,2/4/2017,745.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.709078,-105.319309,17,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,245.2,2/5/2017,750.0,PDO,ON,NON-INTERSECTION,3,STRAIGHT ON-GRADE,DRY,DAYLIGHT,39.735205,-105.429167,44,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,262.62,2/8/2017,1652.0,PDO,ON,NON-INTERSECTION,2,STRAIGHT ON-LEVEL,DRY,DAYLIGHT,39.740291,-105.15853,25,M,NO IMPAIRMENT SUSPECTED
INTERSTATE,70,A,244.0,2/9/2017,1155.0,PDO,ON,NON-INTERSECTION,2,CURVE ON-GRADE,DRY,DAYLIGHT,39.743474,-105.443466,27,M,NO IMPAIRMENT SUSPECTED
